Dep_apt,Arr_apt,SchedDepApt,SchedArrApt,DepCountryCode,ArrCountryCode,avg_daily_passenger_cnt
332,202,AAT,CGO,CN,CN,65.32487671
332,334,AAT,FYN,CN,CN,19.36234521
332,350,AAT,KJI,CN,CN,28.62259726
332,340,AAT,KRL,CN,CN,53.80315068
332,341,AAT,KRY,CN,CN,56.98947397
332,353,AAT,TCG,CN,CN,26.47726027
332,346,AAT,TLQ,CN,CN,10.35328767
332,348,AAT,URC,CN,CN,343.850537
332,321,AAT,XIY,CN,CN,212.7187616
332,351,AAT,YIN,CN,CN,47.79937534
48,48,ABM,ABM,AU,AU,23.60323288
48,93,ABM,BDD,AU,AU,38.95551781
48,69,ABM,CNS,AU,AU,186.9158795
443,445,ABU,KOE,ID,ID,172.1021918
25,114,ABX,MEL,AU,AU,56.168
25,22,ABX,SYD,AU,AU,425.4827836
190,167,ACX,CAN,CN,CN,48.15693151
190,159,ACX,CKG,CN,CN,67.38123288
190,232,ACX,CSX,CN,CN,61.50871233
190,298,ACX,CTU,CN,CN,75.08679452
190,215,ACX,HAK,CN,CN,22.81117808
190,365,ACX,KMG,CN,CN,176.9631452
190,196,ACX,KWE,CN,CN,578.3470959
190,363,ACX,LJG,CN,CN,80.83711233
190,300,ACX,MIG,CN,CN,8.228317808
190,378,ACX,NGB,CN,CN,222.3320438
190,246,ACX,NKG,CN,CN,13.54413699
190,155,ACX,PKX,CN,CN,44.54289863
190,317,ACX,PVG,CN,CN,134.635737
190,172,ACX,SZX,CN,CN,83.2449589
190,331,ACX,TSN,CN,CN,22.81117808
190,207,ACX,WUH,CN,CN,84.72723288
190,321,ACX,XIY,CN,CN,81.02720548
99,749,ADL,AKL,AU,NZ,178.7328219
99,32,ADL,ASP,AU,AU,213.1442082
99,113,ADL,AVV,AU,AU,82.28317808
99,33,ADL,AYQ,AU,AU,27.5884
99,1,ADL,BHQ,AU,AU,44.7035726
99,92,ADL,BNE,AU,AU,1219.705545
99,167,ADL,CAN,AU,CN,134.309863
99,0,ADL,CBR,AU,AU,315.3984822
99,96,ADL,CED,AU,AU,43.70332055
99,69,ADL,CNS,AU,AU,138.0890959
99,95,ADL,CPD,AU,AU,12.77244932
99,41,ADL,DRW,AU,AU,225.989074
99,104,ADL,HBA,AU,AU,68.02619178
99,391,ADL,HKG,AU,HK,203.5580822
99,102,ADL,KGC,AU,AU,104.3928219
99,727,ADL,KUL,AU,MY,216.4572603
