O_apt_code,D_apt_code,from_airport,to_airport,commuting_flow,Commute_rate
0,7,CBR,OOM,14036.23646,0.047409467
0,15,CBR,MYA,3062.006571,0.010342381
0,27,CBR,WGA,1386.73045,0.004683887
0,29,CBR,OAG,40.232008,0.00013589
0,5,CBR,BHS,17.55907244,5.93084E-05
0,9,CBR,WOL,609.7031155,0.002059363
12,10,NAA,DBO,285.3937897,0.011079382
12,8,NAA,WGE,168.1238746,0.006526801
12,13,NAA,DGE,215.4736016,0.008364983
12,24,NAA,TMW,1068.113439,0.041465641
14,10,PKE,DBO,889.6717207,0.020694853
14,3,PKE,CAZ,0.872944227,2.03058E-05
17,20,ARM,TRO,61.89879921,0.001539963
17,24,ARM,TMW,1788.581959,0.044497623
17,26,ARM,PQQ,227.1246895,0.005650571
17,30,ARM,CFS,420.4029318,0.010459085
11,86,MRZ,MOO,134.4068853,0.005918401
11,82,MRZ,SGO,27.14758425,0.001195402
7,0,OOM,CBR,12819.31805,0.059626399
7,27,OOM,WGA,2277.108991,0.0105915
7,29,OOM,OAG,575.6494958,0.002677514
7,15,OOM,MYA,2758.672707,0.012831394
10,8,DBO,WGE,184.0628541,0.002634814
10,3,DBO,CAZ,162.4348114,0.002325214
18,12,IVR,NAA,206.5230712,0.005823457
18,11,IVR,MRZ,401.9174663,0.011333112
18,24,IVR,TMW,249.989641,0.00704911
18,17,IVR,ARM,1391.469467,0.039236112
10,14,DBO,PKE,1168.252621,0.016723247
17,19,ARM,GFN,94.84015453,0.002359501
17,18,ARM,IVR,1450.295366,0.036081487
11,8,MRZ,WGE,17.35084756,0.000764018
10,12,DBO,NAA,205.4405435,0.002940831
10,13,DBO,DGE,1651.090909,0.023634958
10,24,DBO,TMW,1.168248262,1.67232E-05
11,12,MRZ,NAA,301.9370641,0.013295335
4,110,GFF,MQL,322.5639161,0.004203828
4,112,GFF,BXG,2601.199374,0.033900241
14,4,PKE,GFF,189.8717806,0.00441665
19,17,GFN,ARM,96.39489799,0.002043824
19,28,GFN,LSY,2579.7615,0.054697683
19,30,GFN,CFS,1883.503256,0.039935189
19,18,GFN,IVR,348.5441885,0.007390047
18,87,IVR,WTB,352.5626598,0.009941424
18,86,IVR,MOO,5.588201055,0.000157574
12,11,NAA,MRZ,341.4515078,0.01325562
12,18,NAA,IVR,219.1157991,0.008506378
14,21,PKE,NRA,228.2978053,0.005310486
8,10,WGE,DBO,229.5326635,0.028323379
8,12,WGE,NAA,153.8402733,0.018983252
4,14,GFF,PKE,134.8253419,0.001757117
4,21,GFF,NRA,2022.898677,0.026363512
8,11,WGE,MRZ,24.22904998,0.002989764
8,6,WGE,LHG,139.4782655,0.01721104
20,17,TRO,ARM,43.44104535,0.000588927
20,24,TRO,TMW,118.7727778,0.001610195
20,26,TRO,PQQ,3191.17583,0.043262555
20,23,TRO,NTL,3189.52218,0.043240136
21,4,NRA,GFF,1797.552279,0.052638504
21,25,NRA,ABX,630.4888663,0.018462879
21,27,NRA,WGA,1075.857416,0.0315048
21,112,NRA,BXG,122.7014524,0.00359312
13,22,DGE,SYD,14.56986216,0.000400117
13,23,DGE,NTL,341.3365273,0.009373772
13,5,DGE,BHS,1102.441263,0.030275204
13,24,DGE,TMW,353.9970091,0.009721454
11,18,MRZ,IVR,436.7887145,0.019233321
11,87,MRZ,WTB,154.5603175,0.006805826
15,0,MYA,CBR,1116.777341,0.009810492
15,16,MYA,MIM,1777.429889,0.01561409
15,7,MYA,OOM,2301.840746,0.020220853
15,9,MYA,WOL,4629.899102,0.040672017
16,7,MIM,OOM,957.4312564,0.022404962
16,111,MIM,MEB,210.6290141,0.004928955
6,8,LHG,WGE,152.7350629,0.036313615
6,2,LHG,BRK,26.98503756,0.006415843
4,25,GFF,ABX,55.02754861,0.000717149
14,27,PKE,WGA,425.1971246,0.009890605
18,19,IVR,GFN,335.1979537,0.009451781
21,111,NRA,MEB,2.502000749,7.32672E-05
19,87,GFN,WTB,244.6957985,0.00518819
22,13,SYD,DGE,50.16453246,9.73803E-06
22,5,SYD,BHS,14238.67484,0.002764037
22,23,SYD,NTL,55629.73871,0.010798943
22,9,SYD,WOL,68748.25732,0.013345533
12,17,NAA,ARM,0.227184771,8.81963E-06
4,27,GFF,WGA,1.927586778,2.51214E-05
1,110,BHQ,MQL,1457.615872,0.017216274
5,22,BHS,SYD,5712.01484,0.048812713
5,29,BHS,OAG,3654.028439,0.031225941
5,9,BHS,WOL,557.6914171,0.004765819
23,13,NTL,DGE,758.6484282,0.00084876
23,22,NTL,SYD,41168.11075,0.046057996
23,5,NTL,BHS,0.387098671,4.33078E-07
23,24,NTL,TMW,1697.46789,0.001899091
20,30,TRO,CFS,0.000300954,4.08001E-09
7,16,OOM,MIM,701.2459134,0.0032617
7,111,OOM,MEB,363.5438854,0.001690949
21,14,NRA,PKE,339.960927,0.009955223
11,24,MRZ,TMW,0.076818616,3.38259E-06
18,28,IVR,LSY,8.294249254,0.000233878
24,20,TMW,TRO,134.7123154,0.001464742
24,17,TMW,ARM,2053.743396,0.022330579
24,23,TMW,NTL,1241.077665,0.013494375
24,13,TMW,DGE,494.8930731,0.005381027
14,29,PKE,OAG,1791.716886,0.041677527
13,29,DGE,OAG,480.8651,0.013205501
24,26,TMW,PQQ,1.780730154,1.93621E-05
13,12,DGE,NAA,137.2060816,0.003767949
13,10,DGE,DBO,1150.566796,0.031596825
24,12,TMW,NAA,1234.67658,0.013424775
15,5,MYA,BHS,108.0998233,0.000949619
19,26,GFN,PQQ,0.013795049,2.92491E-07
7,25,OOM,ABX,13.21835023,6.14824E-05
