O_apt_code,D_apt_code,Commute_rate
0,7,0.047409467
0,15,0.010342381
0,27,0.004683887
0,29,0.00013589
0,5,5.93E-05
0,9,0.002059363
12,10,0.011079382
12,8,0.006526801
12,13,0.008364983
12,24,0.041465641
14,10,0.020694853
14,3,2.03E-05
17,20,0.001539963
17,24,0.044497623
17,26,0.005650571
17,30,0.010459085
11,86,0.005918401
11,82,0.001195402
7,0,0.059626399
7,27,0.0105915
7,29,0.002677514
7,15,0.012831394
10,8,0.002634814
10,3,0.002325214
18,12,0.005823457
18,11,0.011333112
18,24,0.00704911
18,17,0.039236112
10,14,0.016723247
17,19,0.002359501
17,18,0.036081487
11,8,0.000764018
10,12,0.002940831
10,13,0.023634958
10,24,1.67E-05
11,12,0.013295335
4,110,0.004203828
4,112,0.033900241
14,4,0.00441665
19,17,0.002043824
19,28,0.054697683
19,30,0.039935189
19,18,0.007390047
18,87,0.009941424
18,86,0.000157574
12,11,0.01325562
12,18,0.008506378
14,21,0.005310486
8,10,0.028323379
8,12,0.018983252
4,14,0.001757117
4,21,0.026363512
8,11,0.002989764
8,6,0.01721104
20,17,0.000588927
20,24,0.001610195
20,26,0.043262555
20,23,0.043240136
21,4,0.052638504
21,25,0.018462879
21,27,0.0315048
21,112,0.00359312
13,22,0.000400117
13,23,0.009373772
13,5,0.030275204
13,24,0.009721454
11,18,0.019233321
11,87,0.006805826
15,0,0.009810492
15,16,0.01561409
15,7,0.020220853
15,9,0.040672017
16,7,0.022404962
16,111,0.004928955
6,8,0.036313615
6,2,0.006415843
4,25,0.000717149
14,27,0.009890605
18,19,0.009451781
21,111,7.33E-05
19,87,0.00518819
22,13,9.74E-06
22,5,0.002764037
22,23,0.010798943
22,9,0.013345533
12,17,8.82E-06
4,27,2.51E-05
1,110,0.017216274
5,22,0.048812713
5,29,0.031225941
5,9,0.004765819
23,13,0.00084876
23,22,0.046057996
23,5,4.33E-07
23,24,0.001899091
20,30,4.08E-09
7,16,0.0032617
7,111,0.001690949
21,14,0.009955223
11,24,3.38E-06
18,28,0.000233878
24,20,0.001464742
24,17,0.022330579
24,23,0.013494375
24,13,0.005381027
14,29,0.041677527
13,29,0.013205501
24,26,1.94E-05
13,12,0.003767949
13,10,0.031596825
24,12,0.013424775
15,5,0.000949619
19,26,2.92E-07
7,25,6.15E-05
5,15,0.000518481
25,21,0.024880545
25,4,0.004016769
25,27,0.022390114
25,112,0.07312525
25,111,0.036710011
16,15,0.034205841
26,17,0.002296964
26,20,0.039747216
26,24,4.21E-05
26,30,0.020058452
26,19,1.30E-06
5,7,0.0003796
27,14,0.00520718
27,4,6.21E-05
27,21,0.013177001
27,29,0.007283055
27,7,0.010758301
27,25,0.009700337
27,111,0.001698014
5,14,0.000267749
5,27,8.60E-05
28,19,0.026497456
28,18,2.63E-05
28,17,9.97E-09
28,31,0.021906278
28,87,0.004101789
27,0,0.00343768
27,5,0.000216643
27,15,4.29E-07
17,28,2.79E-08
24,18,0.003594864
24,11,6.43E-06
24,10,1.59E-05
6,82,0.011193725
10,29,0.011441491
29,5,0.043122139
29,27,0.009633973
29,14,0.031139241
29,9,0.000164469
29,15,3.92E-05
29,7,0.001985439
4,1,0.002045044
25,7,0.00021109
17,12,4.07E-06
14,13,2.65E-05
28,92,0.031973331
30,17,0.006793345
30,19,0.037986089
30,26,0.031874195
30,18,6.44E-06
5,13,0.014615374
5,23,3.34E-06
13,14,7.67E-05
27,9,2.14E-07
23,20,0.004324993
17,87,7.26E-08
27,112,5.37E-08
9,15,0.010605659
9,5,0.001640043
9,29,0.000246574
9,7,0.001176854
29,0,2.12E-06
5,0,5.73E-07
8,82,0.002611815
18,30,1.69E-05
9,22,0.076552565
29,13,0.008158068
29,10,0.008587609
26,23,2.50E-07
14,5,3.75E-05
15,29,0.000137479
15,27,2.36E-06
5,10,7.02E-07
25,114,0.000100557
30,20,2.88E-08
2,6,0.006669868
14,7,2.23E-05
7,9,0.006987546
9,0,0.000120278
1,4,0.00223446
7,5,0.001647564
1,99,0.001565179
