Country_code,2021/07/01,2021/07/02,2021/07/03,2021/07/04,2021/07/05,2021/07/06,2021/07/07,2021/07/08,2021/07/09,2021/07/10,2021/07/11,2021/07/12,2021/07/13,2021/07/14,2021/07/15,2021/07/16,2021/07/17,2021/07/18,2021/07/19,2021/07/20,2021/07/21,2021/07/22,2021/07/23,2021/07/24,2021/07/25,2021/07/26,2021/07/27,2021/07/28,2021/07/29,2021/07/30,2021/07/31,2021/08/01,2021/08/02,2021/08/03,2021/08/04,2021/08/05,2021/08/06,2021/08/07,2021/08/08,2021/08/09,2021/08/10,2021/08/11,2021/08/12,2021/08/13,2021/08/14,2021/08/15,2021/08/16,2021/08/17,2021/08/18,2021/08/19,2021/08/20,2021/08/21,2021/08/22,2021/08/23,2021/08/24,2021/08/25,2021/08/26,2021/08/27,2021/08/28,2021/08/29,2021/08/30,2021/08/31,2021/09/01,2021/09/02,2021/09/03,2021/09/04,2021/09/05,2021/09/06,2021/09/07,2021/09/08,2021/09/09,2021/09/10,2021/09/11,2021/09/12,2021/09/13,2021/09/14,2021/09/15,2021/09/16,2021/09/17,2021/09/18,2021/09/19,2021/09/20,2021/09/21,2021/09/22,2021/09/23,2021/09/24,2021/09/25,2021/09/26,2021/09/27,2021/09/28,2021/09/29,2021/09/30,2021/10/01,2021/10/02,2021/10/03,2021/10/04,2021/10/05,2021/10/06,2021/10/07,2021/10/08,2021/10/09,2021/10/10,2021/10/11,2021/10/12,2021/10/13,2021/10/14,2021/10/15,2021/10/16,2021/10/17,2021/10/18,2021/10/19,2021/10/20,2021/10/21,2021/10/22,2021/10/23,2021/10/24,2021/10/25,2021/10/26,2021/10/27,2021/10/28,2021/10/29,2021/10/30,2021/10/31,2021/11/01,2021/11/02,2021/11/03,2021/11/04,2021/11/05,2021/11/06,2021/11/07,2021/11/08,2021/11/09,2021/11/10,2021/11/11,2021/11/12,2021/11/13,2021/11/14,2021/11/15,2021/11/16,2021/11/17,2021/11/18,2021/11/19,2021/11/20,2021/11/21,2021/11/22,2021/11/23,2021/11/24,2021/11/25,2021/11/26,2021/11/27,2021/11/28,2021/11/29,2021/11/30,2021/12/01,2021/12/02,2021/12/03,2021/12/04,2021/12/05,2021/12/06,2021/12/07,2021/12/08,2021/12/09,2021/12/10,2021/12/11,2021/12/12,2021/12/13,2021/12/14,2021/12/15,2021/12/16,2021/12/17,2021/12/18,2021/12/19,2021/12/20,2021/12/21,2021/12/22,2021/12/23,2021/12/24,2021/12/25,2021/12/26,2021/12/27,2021/12/28,2021/12/29,2021/12/30,2021/12/31
0,92839,81993,47480,21875,66604,79710,75540,81069,74054,49249,21874,75051,87877,89863,91433,83566,48357,26391,78544,87893,95437,93293,88538,55249,31792,86017,100040,111478,105467,103778,61271,37667,97201,112102,115794,118985,117783,84733,40637,109182,131097,131060,135103,137388,77100,36798,132551,129205,144390,142891,144698,87145,50074,127781,139783,152996,147269,141653,94131,51323,126953,146791,143234,141084,139718,86131,45239,121840,140383,143649,152124,148843,88825,53468,147392,145000,149532,144603,169364,103336,67487,153044,165091,164959,171561,167309,112301,69105,158057,177617,163022,183701,185107,118490,76928,102030,216002,208366,209979,217615,162825,114605,214171,234488,225426,218792,210398,143845,115013,198153,194497,193630,198206,197160,142167,85031,164481,159839,156532,162142,151310,105788,60087,149452,98594,129791,125810,131078,73829,45432,105748,98005,95776,97874,97554,56643,37049,86537,82428,75957,75429,73748,43235,13770,87681,61662,60573,60957,60970,30517,19156,54378,49737,49436,52353,51529,28328,18297,46707,45899,48048,47574,41318,24114,9056,57635,46170,45993,46805,47088,23385,14510,34782,32469,30838,27460,0,0,21016,4434,5394,23564,22823,22823
1,388,3,450,0,398,290,350,667,50,0,0,0,1338,0,0,540,0,0,1607,0,355,0,1136,981,63,715,0,2055,1401,196,1466,0,2510,2010,2184,0,0,4718,825,0,2566,2457,0,0,5746,0,0,6855,0,0,6863,0,0,7717,0,6742,0,4119,0,4592,0,7138,0,8807,0,6321,0,7143,0,11087,0,5922,0,6698,0,6397,0,0,0,9278,0,3818,0,8217,0,3929,0,4591,0,10000,0,8204,0,2952,0,2365,0,4541,0,2259,0,2868,0,5006,0,7413,0,0,0,10893,0,3570,0,2568,0,2772,0,4727,1683,2186,520,1780,0,5611,0,11980,0,6150,267,6566,2178,472,528,1553,2092,3334,4193,1852,3810,3652,4274,5442,2142,6250,1315,4756,3527,0,5238,307,2202,496,2859,1002,642,806,228,1258,477,5418,4702,4970,4764,2047,4522,3111,3694,3694,3694,3694,3694,3694,3694,3694,3694,3694,3694,3694,3694,3694,3694,3694,3694,3694
2,8274374,8106256,5488803,4038596,5507337,5647090,4569456,5059624,4814286,3730219,3557184,3825352,4520158,5371519,5020324,4836510,4196420,3902349,4601398,4776811,5612002,6840472,7405192,5902336,4938632,6671812,7472435,7643204,7676858,7784764,6579313,7115831,8170885,8387130,7625890,6661858,6844955,5349873,5211654,5362703,5582148,5205511,5241580,41672114,4237728,4066470,5574311,5330631,5754005,5506966,5376610,5135158,4951105,6670059,6193779,5681592,6933174,37423663,6186628,5402815,5264835,5395364,4098980,3817059,3504494,3808791,3271163,2622982,22054660,2640942,2499054,2584689,3476513,2622942,2093041,2097279,2285220,6889404,2242868,1956163,12218909,1641971,815803,2012852,2142900,1895228,1601780,1253727,1495003,1444502,2832308,1484144,583424,490569,470969,641908,568123,619647,844304,912388,721021,647285,787497,897677,767631,961654,1072318,740022,812212,1084644,1168981,1216315,1285440,1433514,950381,593340,728896,724863,761730,626559,603571,362245,361667,540516,557869,535089,358108,491664,280839,278998,390178,362944,368355,352556,408413,441077,438201,553084,549587,565663,611564,629836,3679437,3054209,2621936,3164943,3356912,3725145,4150474,4614778,4211928,3724314,3732057,3972569,3729157,4016727,15853843,4404037,3376373,3522668,3480550,3598362,4233674,3449410,3447101,3483088,3456212,3452701,3448628,3479405,3617363,3615505,1700364,1699995,1700542,1697995,1760241,1663909,1365004,1405760,1431299,6377253,5903724,5191750
3,158658,145950,152625,56832,56370,232046,175833,178689,246075,100753,42018,25120,154530,420556,198545,130630,277126,56295,126201,50937,155387,289525,257945,321851,430508,223374,536465,436819,566060,477199,388402,138256,261346,502483,528458,245013,681445,453440,432059,434701,685556,541720,305550,1484073,564633,318729,412701,634063,244296,965180,384612,457785,390946,444356,594774,453507,262744,763954,581618,155179,456460,540751,488009,516181,788632,382619,192501,248938,693889,555591,641249,505173,666347,200394,370105,460492,397309,522331,639744,591855,417624,90456,628383,643144,484170,727794,287964,530543,388828,740242,757275,700367,637337,565869,359486,330871,649998,785058,517566,1146461,802658,500639,197897,798380,1005918,1010575,974982,769861,565652,456232,820098,613794,550456,1143519,849065,749708,348569,866113,983496,986251,961208,1229611,408295,389944,716740,1023523,858560,1000088,426234,880091,218312,858050,883614,756960,1107393,599594,743673,390687,818238,909032,56207,1624194,800080,460144,206529,800912,987204,1059576,830467,561810,672898,415923,718208,1045478,799303,728185,576784,385963,215991,599872,633828,690237,645087,650661,464925,188675,539461,883838,715965,782417,615635,415390,128615,525835,834042,717016,698681,451535,213520,192049,752446,712486,726580,661959
4,1300452,284215,2736442,854059,1554455,1047350,1360917,3426303,1274389.5,1274389.5,472561,1521216,1455531,1500593,1416589,1803075,2007300,1207832.5,1207832.5,1302625,835696,1879940,1590566,1700724,630125,2002952,1436352,1328388,1732029,1805151,1265443.5,1265443.5,1483460,1483460,1020047,1480525,1271504,1464292,564825,1345045,1142225,1206254,1326549,1326549,1927101,283688.5,283688.5,1227076,1387582,1026740,1623601,969671,1512031,446685,1819229,2731013,1678690,3220872,2870653,2082135,1794172,1568726,4111643,2238874,1839422,742019,2467052,1395118,3073132,3423975,3127201,934430,3294396,2496460,3297050,813845,3442693,4005081,2783084,7527206,3762084,3097372,3806450,2162316,4392740,4300434,2250949,1607922,5280860,1927780,3000422,3077097,2983538,3588184,2363121,2402570,3237357,2500003,1758311,3749129,3730275,3852740,1929129,3082095,2283332,1291213,1520064,946720,2114306,1507482,4656935,4580044,2099459,3888817,2012225,5038242,1114268,3995187,3442551,3681582,5683620,4168689,2411185,2985339,1198110,3285400,1192051,450062,1609498,2122548,3554252,2677876,4045369,3694240,6340486,5454892,2528470,2821469,4586842,5119576,5499500,3171671,6893887,2749045,5177618,5484677,6961297,3319934,8194345,1210227,7129476,3589830,5864337,5889687,7447465,4106107,8616516,3285462,3477821,5733619,5561905,5982505,2829063,11175154,2584726,2867027,7769512,4612190,3100505,6795523,5853284,2420250,2894052,6375829,1907255,5669185,4863198,7084270,534259,2691640,5845346,6906090,2616313,7728117
5,737474,747773,634940,567834,691313,711470,684438,683156,686050,662857,671890,724836,713620,724239,702889,693556,697222,719191,729918,759909,818187,347166,274879,853125,789960,970083,978710,1003470,993479,1036978,1005789,701308,820669,871895,866801,888985,946802,891799,636589,220353,837165,742438,437940,330693,411947,379892,586227,704164,684097,642682,696574,725658,612134,652963,655571,637504,603847,668323,749735,632729,287857,537043,496792,505847,421679,455798,403497,420658,530216,555283,543552,615030,725709,596550,518672,555145,556541,560745,643011,727753,569915,156838,688982,657182,238674,769555,943785,730442,617225,623275,594742,602038,643026,782934,609782,533377,556980,542357,539040,662596,824415,601520,217350,446442,439027,253042,517941,660480,497915,381470,420713,416258,390400,501507,665886,504904,355336,360993,346537,334291,426900,569567,407905,277748,275399,77577,273942,328744,439648,278042,182958,177686,174254,153382,222290,290991,176108,120154,121114,115595,106831,157761,223955,133854,70440,20842,48788,66244,111031,156587,93630,57685,62255,32960,29865,53364,77135,33275,25868,24489,23610,22058,44299,61951,24908,21930,7753,22220,20328,41577,58894,22061,19039,18860,18799,16632,32613,51642,21415,16352,12973,4567,1223,202
6,55040,62537,54671,57263,51314,46957,64243,81091,106733,86201,81367,69950,81739,54755,33744,36924,36542,21081,24734,40143,57858,51140,58169,68151,50431,58762,46534,39669,44306,58651,53956,63685,93493,126513,142863,192363,195410,223133,198613,220320,198816,197229,179809,151880,148555,134606,113673,114588,98588,84565,75646,64955,72074,92180,85125,78216,73758,71213,67340,49546,65777,67877,68763,71588,60246,150477,52001,72078,78549,84497,89395,96844,93519,75533,114802,128895,127292,113885,110468,102243,87059,108629,115205,96444,82456,67225,62040,48059,55077,45992,40062,35280,24837,19687,14092,12304,4324,99,345,46470,142976,172810,225844,217159,189777,167092,134574,108457,75834,97421,82980,58957,45650,39214,25792,20998,21215,10086,6574,9764,10513,9770,9646,15239,16206,13732,12225,11426,0,14515,14436,6556,11763,9500,8377,3039,1000,3531,18052,6606,720,435,995,687,11431,9277,7399,7122,7700,2853,4595,35227,31036,32949,30414,22356,18985,9434,24647,14914,16436,12238,7597,3730,2960,11142,9603,7637,0,12486,1608,1356,7410,6664,6028,4581,5843,1821,1203,13194,6570,5499,5154,3545
7,118347,119233,17622,1272,77018,91038,89483,106768,149636,40591,1911,94381,110582,122981,143580,185308,38010,1489,72332,62394,41439,61598,62097,12997,1459,67087,50539,44541,45330,62101,15141,1704,37842,108816,111746,128366,157406,37335,3451,175162,170488,164206,703147,618638,182790,6362,256512,493544,318885,292904,332630,124197,3042,716814,602158,476638,424845,549628,255729,16493,596995,528109,533544,498565,697720,260762,8872,634268,421210,307482,292437,418198,212976,26181,422911,224963,439581,313862,445257,190968,26436,14794,5144,16909,377345,415698,216265,24448,711659,690198,526674,542240,861104,407397,33769,210474,765247,510383,710164,1098395,104540,18564,166754,600765,411328,457828,720966,355625,20052,630516,446857,324035,408938,634199,334393,17191,433378,281411,258831,623656,702213,358820,21516,119619,87936,76457,124672,163009,63300,4567,164002,125917,107575,109009,149815,101384,3459,89059,47916,67074,60914,78054,39238,2364,88380,44256,61824,67623,87976,46196,2100,106646,49322,66162,61258,91467,53481,2141,66563,42516,52164,55484,75855,34877,1599,63436,44111,58135,62169,80667,40847,1897,53484,38078,39099,34448,43499,5108,1787,64802,43496,46389,46031,58251
8,9634,9634,9634,9634,1977,5838,12384,12384,12384,4374,4374,9727,9727,9727,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,32827,32827,32827,32827,32827,32827,32827,32827,32827,32827,32827,32827,32827,32827,32827,32827,32827,32827,32827,32827,2000,17446,3927,18182,15873,20434,18084,18084,16458,9526,9994,9319,11198,9045,6761,6281,2548,2548,5844,5844,5844,484,6118,6118,6118,6118,6118,6118,6118,6118,15546,15546,15546,15546,15546,15546,15546,15546,15546,15546,15546,20222,20222,20222,20222,20222,20222,20222,20222,20222,20222,20222,20222,20222,44449,44449,44449,44449,44449,44449,44449,44449,11114,11114,11114,11114,11114,11114,11114,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398,12398
9,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,3501,68711,68711,68711,68711,68711,68711,68711,68711,68711,68711,68711,68711,68711,68711,68711,68711,68711,68711,68711,68711,68711,25721,25721,25721,25721,25721,25721,25721,25721,25721,51701,51701,51701,51701,51701,20457,20457,20457,20457,20457,20457,20457,46764,46764,46764,46764,46764,46764,46764,46764,46764,46764,46764,46764,46764,46764,46764,187853,187853,187853,187853,187853,187853,150275,150275,150275,150275,150275,150275,150275,300551,198862,198862,198862,198862,198862,198862,187710,187710,187710,187710,187710,187710,187710,131021,131021,131021,131021,131021,131021,131021,162399,162399,162399,162399,162399,162399,162399,81167,81167,81167,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471,106471
