Country_code,2021/07/01,2021/07/02,2021/07/03,2021/07/04,2021/07/05,2021/07/06,2021/07/07,2021/07/08,2021/07/09,2021/07/10,2021/07/11,2021/07/12,2021/07/13,2021/07/14,2021/07/15,2021/07/16,2021/07/17,2021/07/18,2021/07/19,2021/07/20,2021/07/21,2021/07/22,2021/07/23,2021/07/24,2021/07/25,2021/07/26,2021/07/27,2021/07/28,2021/07/29,2021/07/30,2021/07/31,2021/08/01,2021/08/02,2021/08/03,2021/08/04,2021/08/05,2021/08/06,2021/08/07,2021/08/08,2021/08/09,2021/08/10,2021/08/11,2021/08/12,2021/08/13,2021/08/14,2021/08/15,2021/08/16,2021/08/17,2021/08/18,2021/08/19,2021/08/20,2021/08/21,2021/08/22,2021/08/23,2021/08/24,2021/08/25,2021/08/26,2021/08/27,2021/08/28,2021/08/29,2021/08/30,2021/08/31,2021/09/01,2021/09/02,2021/09/03,2021/09/04,2021/09/05,2021/09/06,2021/09/07,2021/09/08,2021/09/09,2021/09/10,2021/09/11,2021/09/12,2021/09/13,2021/09/14,2021/09/15,2021/09/16,2021/09/17,2021/09/18,2021/09/19,2021/09/20,2021/09/21,2021/09/22,2021/09/23,2021/09/24,2021/09/25,2021/09/26,2021/09/27,2021/09/28,2021/09/29,2021/09/30,2021/10/01,2021/10/02,2021/10/03,2021/10/04,2021/10/05,2021/10/06,2021/10/07,2021/10/08,2021/10/09,2021/10/10,2021/10/11,2021/10/12,2021/10/13,2021/10/14,2021/10/15,2021/10/16,2021/10/17,2021/10/18,2021/10/19,2021/10/20,2021/10/21,2021/10/22,2021/10/23,2021/10/24,2021/10/25,2021/10/26,2021/10/27,2021/10/28,2021/10/29,2021/10/30,2021/10/31,2021/11/01,2021/11/02,2021/11/03,2021/11/04,2021/11/05,2021/11/06,2021/11/07,2021/11/08,2021/11/09,2021/11/10,2021/11/11,2021/11/12,2021/11/13,2021/11/14,2021/11/15,2021/11/16,2021/11/17,2021/11/18,2021/11/19,2021/11/20,2021/11/21,2021/11/22,2021/11/23,2021/11/24,2021/11/25,2021/11/26,2021/11/27,2021/11/28,2021/11/29,2021/11/30,2021/12/01,2021/12/02,2021/12/03,2021/12/04,2021/12/05,2021/12/06,2021/12/07,2021/12/08,2021/12/09,2021/12/10,2021/12/11,2021/12/12,2021/12/13,2021/12/14,2021/12/15,2021/12/16,2021/12/17,2021/12/18,2021/12/19,2021/12/20,2021/12/21,2021/12/22,2021/12/23,2021/12/24,2021/12/25,2021/12/26,2021/12/27,2021/12/28,2021/12/29,2021/12/30,2021/12/31
2,1412460.362,1554749.482,1503575.802,1560720.472,1559406.622,1539999.506,1596562.512,1579551.338,1640271.426,1594021.906,1652734.654,1651259.016,1636741.802,1669748.852,1626311.38,1687069.356,1662815.394,1715244.63,1711267.868,1676918.696,1721546.102,1690749.12,1749564.896,1695173.144,1732450.352,1689844.542,1636655.634,1679046.546,1632984.718,1637600.036,1492702.562,1515477.508,1479376.14,1436409.668,1429806.356,1359136.362,1293244.08,1153206.766,1092016.054,968834.028,913312.83,967519.022,929717.406,937228.09,901173.722,875657.062,925034.828,879199.854,950544.334,951231.714,1009179.684,958184.758,987643.22,1034318.272,1005735.162,1079415.848,1083266.506,1151212.982,1110475.166,1108156.488,1094540.288,1076315.97,1286737.456,1273452.85,1300831.22,1274470.768,1279553.95,1266695.678,1256983.202,1325010.712,1308541.692,1359545.152,1319751.048,1349488.33,1319713.732,1308187.55,1359823.652,1347540.71,1371384.154,1371819.078,1280862.408,1149640.914,1242590.308,1347221.724,1298893.486,1327595.754,1299549.474,1315834.802,1296863.39,1309693.132,1389622.78,1428769.918,1407882.216,1232561.074,1124838.122,1099647.658,1231564.392,1401264.618,1426204.478,1344307.382,1318811.016,1350171.394,1308471.166,1283987.018,1331257.464,1306222.622,1356495.366,1336236.788,1357312.76,1340125.626,1327782.162,1366634.618,1354051.39,1398114.216,1317890.302,1320826.788,1281968.166,1257040.06,1269444.556,1225058.81,1213007.312,1128972.278,1260113.854,1203387.338,1165874.192,1184289.182,1138089.142,1152107.202,1048692.202,1037656.22,977720.946,939398.732,989635.68,985818.624,1040399.258,960242.666,991725.204,972572.496,961570.06,1016338.088,1011400.328,1066287.436,979502.604,1040164.038,1036717.3,1010654.542,1067743.162,1093690.908,1160156.006,1069876.252,1115559.128,1094792.626,1070044.032,1700824.188,1650335.43,1710410.812,1592482.638,1613644.116,1576455.292,1552948.558,1624269.568,1612124.412,1661719.724,1547990.986,1604604.022,1582631.304,1532545.652,1632608.688,1589824.662,1668576.742,1561184.958,1626680.968,1594830.9,1550627.478,1638860.854,1638224.784,1705286.65,1552552.358,1610974.886,1633812.026,1624198.712,1709615.322,1743394.808,1790530.588
0,112509.006,117946.998,83880.102,84708.106,91377.326,81910.264,84771.68,83269.56,95254.236,76982.816,78527.874,82600.864,69026.75,71924.304,72704.584,84719.692,62391.306,69806.57,81720.238,60250.288,61517.194,59727.238,71717.62,42073.508,45216.246,56913.72,43383.986,48935.464,49358.168,58401.92,35598.466,42914.192,58087.888,43269.866,48407.976,48699.442,58702.234,29768.202,39210.998,53899.05,38846.448,42928.948,42836.844,49826.868,30859.95,38211.814,65002.926,52003.216,46601.71,45304.372,55348.374,29943.82,38991.634,48146.768,33515.776,39699.986,39669.38,46822.342,20908.686,33045.982,48912.006,36091.084,41478.99,40000.962,49014.714,24329.75,34656.342,49887.098,36565.95,43812.744,40289.432,49111.716,25347.954,35664.402,50325.826,39624.366,45865.636,43572.918,52793.354,29511.432,37494.76,53384.242,43366.234,47359.974,46777.154,55666.642,31904.148,41519.392,55910.098,43862.022,47983.83,46472.402,54302.274,31021.188,38553.54,53531.33,44788.93,46512.95,43985.422,51870.884,28435.534,36964.736,54586.306,40369.316,46285.978,45349.79,52717.274,27269.81,38028.588,54346.654,42613.042,47613.574,45983.588,54595.182,27853.522,39077.224,56316.694,43252.114,49169.41,47366.14,56949.858,28807.692,40581.706,60727.23,46952.772,53706.314,53130.468,67717.08,33905.052,47643.198,70297.46,53039.374,61177.37,59721.532,71658.658,37259.546,52494.566,77346.906,57620.456,64292.846,66742.448,79134.152,40007.302,58590.476,76743.972,60958.466,68048.662,69085.712,83303.336,45294.228,64597.626,83712.9,66440.664,162996.502,162189.246,198711.624,114789.504,163323.472,203607.372,172053.652,187768.986,188031.086,230168.802,151331.362,188933.902,240129.576,207446.702,248673.994,253191.704,338292.256,265767.728,295936.618,336285.646,316769.224,343042.184,350367.42,319004.248,207347.366,276586.938,318024.718,317424.78,323429.338,314937.166,259225.656
3,136707.518,137690.218,135139.002,141859.402,138786.404,126711.874,107549.224,103898.652,91702.394,83772.956,77593.992,72845.966,73902.844,73876.85,71021.948,74335.866,71378.256,77009.444,73592.184,72653.23,129009.49,115875.546,85067.584,76760.282,74650.964,112024.63,84433.584,87916.146,84383.498,81499.432,80422.9,77468.46,80934.538,86149.188,86826.3,89567.716,89085.876,90730.472,87809.634,121933.416,87585.198,89503.048,91030.354,95171.008,94233.322,94131.248,93635.46,95889.33,98173.632,128544.134,110501.128,89246.278,91541.992,89053.542,88854.466,99384.572,101140.118,101711.352,98182.508,97154.16,96899.292,96358.49,125232.752,155060.55,133297.866,104201.07,106541.164,101163.576,100676.664,105245.902,102799.296,106995.108,104140.84,106269.812,103956.98,104778.644,108769.674,109615.43,108696.13,107409.11,108919.298,106588.08,108311.926,112893.21,112846.294,112439.266,110742.682,112300.42,109770.76,110663.432,113056.148,112583.818,116132.316,109295.894,112506.47,111039.394,114309.566,116695.942,115088.752,119014.48,113112.574,119141.28,115140.74,115774.106,120030.782,120863.224,123319.34,121528.924,123617.954,119793.032,120582.996,121554.918,122552.834,121744.484,120517.06,123119.63,119976.892,120065.652,122470.414,123429.022,122291.626,121055.326,70472.904,44610.776,47918.988,50054.3,54629.244,104146.546,122748.106,68583.584,53255.366,54744.632,56461.504,93312.754,130138.644,132773.548,124115.644,119177.418,118950.446,121079.418,120948.18,132280.296,134728.804,125376.036,118779.266,118400.134,122394.968,124085.846,131727.448,133566.682,125848.366,119437.992,118570.046,132958.042,133728.352,147127.942,150913.556,150124.226,146069.162,147207.826,148995.072,147193.878,154023.326,155837.834,147131.112,145621.558,147885.572,160530.068,161678.242,162995.694,163417.938,166109.268,165631.866,162042.158,166627.246,168060.086,162951.948,146198.498,160679.692,158661.036,157010.734,164702.422,159583.506,142644.294
4,171261.786,180192.944,173551.16,171435.502,178635.206,169241.862,181173.742,172765,182811.364,177040.062,179983.724,180063.608,174223.834,184535.844,178186.334,196680.114,189971.76,189292.746,198231.512,195063.414,208811.704,202885.706,214435.918,206219.278,204551.224,208315.916,198878.192,207113.852,200058.7,209756.998,204832.086,228444.148,229175.15,224545.682,227449.402,216404.488,226239.73,225700.196,226643.588,226085.668,226925.718,230784.242,213956.614,215872.562,211752.196,213136.218,223923.094,214104.336,222650.022,204723.038,217285.748,214011.772,215391.99,222379.304,216166.104,224839.224,205935.88,220324.51,212320.894,210879.812,217182.406,211898.65,242812.49,228849.908,239344.51,237107.758,229571.4,239560.07,237549.022,247039.368,224579.284,231777.086,227368.25,227869.11,235631.806,230053.874,239254.482,221635.622,232050.34,225354.666,223624.48,230083.038,232300.77,241532.444,220974.36,228607.086,219215.01,223721.482,223578.832,214607.098,224263.552,219002.62,244018.358,242002.872,237202.224,245916.554,244396.222,248762.58,241186.914,246938.562,241673.826,245379.556,251751.89,251838.114,255957.212,249134.738,249824.53,246286.176,244805.786,249588.048,232888.488,251413.968,245946.986,247226.398,250501.642,246886.574,243355.194,236917.558,239412.348,242893.642,246164.448,255719.462,265803.232,271989.804,269053.116,273302.184,244357.548,262787.294,268675.252,271034.366,273560.222,275385.508,280156.358,276370.11,278810.376,277091.602,277585.488,277544.912,275710.75,280096.762,281001.48,278038.798,272846.338,274068.056,282054.554,281608.218,282691.724,281480.784,282043.142,277748.426,276034.09,280942.518,280819.522,298195.56,300502.052,303063.412,298472.618,297971.124,299942.23,299609.38,300238.942,300373.984,302016.678,300502.686,297571.704,302070.568,302000.194,304150.722,304101.904,304996.478,298207.606,296312.58,299982.172,299199.816,302995.574,302017.946,303638.45,293641.538,280357.97,276212.878,274936.636,279607.314,297766.976,299516.816
9,2382.572,2514.444,2399.056,1880.444,1851.28,1851.28,1942.576,1759.984,1822.116,1668.688,1124.716,1486.096,1212.208,1458.834,1577.392,1668.688,1714.336,1307.308,2154.332,1303.504,850.828,942.124,759.532,942.124,850.828,1062.584,942.124,759.532,942.124,576.94,942.124,987.772,2030.068,850.828,759.532,942.124,576.94,939.588,759.532,1290.824,1151.978,759.532,850.828,1150.076,850.828,759.532,1473.416,1606.556,1091.748,1486.096,759.532,1124.716,850.828,1656.008,1352.956,850.828,850.828,942.124,850.828,1033.42,1610.36,1141.2,942.124,759.532,1183.044,1033.42,942.124,1213.476,1124.716,1120.912,1093.65,1444.252,1394.8,1216.012,1519.064,1124.716,1212.208,1336.472,1216.012,1303.504,1336.472,1398.604,1593.876,1272.438,1456.932,1245.176,1577.392,1548.228,1701.656,1216.012,1394.8,1245.176,1367.538,1349.152,1427.768,2333.12,1456.932,1697.852,1427.768,1423.964,2125.168,2610.812,2930.348,2307.76,2440.9,2382.572,2594.328,2092.2,2809.888,2868.216,2747.756,2471.966,2457.384,3005.16,1727.016,2839.052,2839.052,2415.54,2017.388,2999.454,2639.976,1789.148,2747.756,3231.498,2548.68,2183.496,2046.552,2320.44,1880.444,2108.684,2747.756,2307.76,2121.364,2607.008,2638.074,3171.268,2839.052,3656.912,3727.92,3167.464,3306.31,3138.3,3653.108,3536.452,3580.198,3623.944,2835.248,3242.276,2880.896,3229.596,2731.272,3567.518,2884.7,3194.726,4060.136,4363.188,4301.056,3698.756,4786.7,3623.944,3678.468,3391.9,4180.596,3678.468,4122.268,4259.212,3850.282,3528.844,3996.102,4392.352,4010.684,4304.86,5027.62,4332.122,4056.332,3587.172,4392.352,3645.5,4363.188,4512.812,4573.042,3736.796,4043.652,4118.464
5,160806.492,176779.488,171231.988,178308.696,163028.662,159026.854,158111.358,164453.894,179673.698,175135.526,183563.922,168338.412,162142.964,162137.892,165706.044,196016.316,191568.172,195850.208,180616.456,175840.534,209770.946,256047.24,206353.686,216450.77,253960.112,202375.336,178893.878,178512.21,182331.426,191869.956,191277.8,201031.89,188390.564,184802.124,184972.67,194405.322,225505.558,253474.468,242326.846,233201.684,218686.254,218835.244,226890.848,229302.584,248035.382,256742.738,232558.174,204177.164,191407.77,190206.974,199910.344,199066.49,205903.546,196927.374,188692.348,186581.128,188573.156,200149.996,201724.218,205742.51,187094.668,182254.712,188220.652,189306.694,199115.942,191545.348,192117.85,184733.652,175085.44,174429.25,176859.372,187189.768,186872.768,191320.278,180153.636,172640.102,170141.508,177503.516,210036.592,240585.248,200236.22,238845.552,177398.906,178064.606,217922.918,179288.226,195372.806,223656.814,177294.93,168441.12,165761.836,170313.322,192998.476,189115.226,195583.928,181143.944,175891.254,174090.06,180705.216,205658.822,205308.22,208288.654,193328.156,182841.162,180910.632,185729.666,209658.728,208719.14,212452.132,194570.162,188619.438,186323.724,194520.076,212687.346,213355.582,217501.942,198684.822,191611.918,188455.232,193629.94,213321.346,213457.022,220902.084,215743.226,212532.65,221621.04,215385.016,227517.874,227225.6,233665.138,217967.932,212275.246,210458.202,217114.568,232139.1,231189.368,235380.108,216763.966,214123.356,211269.722,217210.302,230798.824,237637.782,230021.54,216010.14,235735.148,212065.392,213957.248,226457.192,226738.688,229363.448,215904.896,209152.162,397368.376,410996.206,426067.654,430176.608,432608.632,412546.336,403136.508,402879.104,412832.27,430237.472,432834.97,433970.464,413871.396,405890.604,402276.804,414050.818,427286.836,431043.92,433017.562,417978.448,404918.048,406050.372,422455.122,454816.384,468593.838,468182.372,466344.406,479629.876,482337.69,486446.644,474315.688
6,159.768,0,0,0,0,0,0,0,0,122.996,0,228.24,0,0,114.12,0,122.996,114.12,0,0,0,0,0,122.996,0,0,0,0,0,228.24,351.236,0,0,0,0,0,0,114.12,0,0,0,0,0,0,114.12,0,45.648,45.648,273.888,0,0,114.12,0,0,228.24,0,0,0,114.12,0,0,0,0,0,0,114.12,228.24,0,0,0,0,228.24,114.12,0,342.36,0,0,0,0,237.116,0,0,0,0,0,0,237.116,0,0,114.12,0,0,0,465.356,0,0,0,0,0,0,114.12,228.24,0,228.24,0,0,0,114.12,0,0,0,0,0,0,114.12,0,0,0,0,0,0,342.36,0,30,0,30,0,0,114.12,0,0,0,0,0,45.648,0,0,0,0,0,228.24,45.648,114.12,0,0,0,0,0,45.648,0,0,0,0,0,0,45.648,114.12,0,0,0,0,0,273.888,114.12,0,0,0,0,0,114.12,237.116,0,0,0,0,0,114.12,114.12,0,0,0,0,0,0
7,65119.408,73157.26,70220.572,71818.252,68007.912,64255.9,63694.176,65149.206,73252.36,70472.904,72164.416,68011.284,63614.292,63302.364,65103.558,73119.854,72391.388,74406.874,69691.816,64184.892,64207.082,66236.516,74593.904,73502.79,74720.07,71628.052,67853.216,66821.064,69644.266,74796.784,73528.784,74755.574,68563.93,68413.672,68956.376,67117.142,72064.244,69811.008,73457.142,66457.148,64433.42,65543.554,65627.876,73401.35,73179.45,74072.122,73266.308,65709.23,66237.15,66748.154,73168.672,69159.89,73733.566,67767.626,64253.364,65673.524,64462.584,70947.136,66752.592,70285.874,64236.88,58948.052,59407.702,59760.206,65905.568,64826.5,69361.502,60631.956,57205.186,57826.506,58533.416,64739.008,62910.552,69450.262,61008.552,57275.56,57935.554,62248.656,79799.044,81725.136,80074.2,75295.742,77138.146,80452.064,70564.834,69013.436,69434.412,73824.228,62357.07,57374.464,58490.938,62052.75,76242.304,74607.852,73399.448,76343.11,66772.246,64332.614,66172.482,76569.448,76121.844,74167.856,76922.586,68085.894,64796.702,66148.39,74782.836,72014.792,74223.648,69714.64,65965.164,66680.95,67942.61,75101.738,72705.852,74112.698,69521.904,67191.32,67328.898,68083.992,75756.026,73230.804,65931.562,59507.874,56757.582,56607.324,58542.926,65466.84,63344.208,66070.408,60075.938,56852.048,57661.666,59460.324,65627.876,63228.82,66810.92,62116.15,58367.308,58589.842,58544.194,67675.696,64625.522,67758.116,61932.924,59406.434,59559.862,60709.938,69142.772,67072.762,69143.406,63862.82,59996.054,69005.194,70829.846,77228.808,74396.096,76706.392,72281.706,67663.65,68106.182,70441.204,77020.222,74529.236,76894.69,72011.622,66121.762,66788.73,67693.448,76887.716,73781.116,76582.762,70969.326,64978.026,65385.688,68433.96,74915.976,70808.924,75241.42,69376.084,64433.42,65933.464,68411.136,75835.91
8,1125.984,1669.956,1217.28,1554.568,1354.224,1125.984,1251.516,1125.984,1669.956,1125.984,1006.792,441.264,441.264,521.148,441.264,1396.068,441.264,1052.44,441.264,441.264,612.444,486.912,1122.18,486.912,1006.792,669.504,669.504,703.74,578.208,1122.18,669.504,1212.208,1080.336,897.744,977.628,897.744,1396.068,989.04,1417.624,1080.336,897.744,886.332,897.744,1396.068,989.04,1417.624,1080.336,897.744,886.332,897.744,1396.068,989.04,1417.624,1080.336,897.744,886.332,897.744,1396.068,989.04,1417.624,1080.336,897.744,977.628,1221.718,1656.008,1104.428,1075.898,1211.574,819.128,834.978,727.832,1160.22,807.716,1075.898,1028.982,727.832,834.978,727.832,1068.924,716.42,984.602,1028.982,727.832,834.978,727.832,1068.924,716.42,984.602,1028.982,727.832,834.978,727.832,1068.924,716.42,984.602,1074.63,1112.036,1101.258,1034.054,1027.08,853.364,1024.544,968.752,919.3,853.364,840.684,1027.08,853.364,1024.544,968.752,919.3,853.364,840.684,1027.08,853.364,1024.544,968.752,1010.596,853.364,840.684,1027.08,853.364,157.232,284.032,417.172,259.94,338.556,205.416,259.94,157.232,284.032,417.172,259.94,338.556,433.656,259.94,157.232,284.032,417.172,259.94,338.556,388.008,259.94,339.824,375.328,417.172,533.828,338.556,661.896,259.94,499.592,466.624,377.864,533.828,338.556,661.896,488.18,483.108,557.92,377.864,693.596,338.556,753.192,259.94,483.108,557.92,377.864,762.068,338.556,890.136,259.94,528.756,694.864,377.864,762.068,429.852,890.136,579.476,796.304,740.512,469.16,944.66,795.036,1027.08
10,9091.56,10213.106,5539.258,6425.59,2873.288,3150.98,4569.872,3836.968,5651.476,4025.9,5460.008,2690.696,4014.488,3905.44,5325.6,8069.552,7392.44,6811.062,4905.892,5253.958,4593.964,3843.942,9810.516,7521.776,8327.59,6398.962,6253.776,6745.126,6690.602,8434.736,7181.318,6921.378,5209.578,4364.456,5321.796,4581.284,7390.538,4687.796,6242.998,2918.936,3712.704,4470.968,4174.256,6624.032,4893.212,7261.202,7473.592,4928.082,5877.814,4969.292,9528.386,6003.98,8275.602,3872.472,4885.604,5381.392,4695.404,11022.09,8297.792,9729.998,4546.414,6465.532,9367.984,7571.862,13133.944,8675.022,12546.86,6475.676,4336.56,6650.66,4604.108,11633.266,8073.356,7453.938,5078.34,4377.136,6594.868,9725.56,13157.402,10782.438,15843.66,13427.486,10629.644,9639.336,9922.734,15372.598,11813.322,13464.892,9351.5,9924.636,10594.14,11393.614,18763.23,12423.864,15610.348,12257.756,11276.324,12227.324,12398.504,19961.49,13673.478,18130.498,14275.144,12655.908,13078.786,14200.966,29830.968,25543.226,25820.284,20985.4,23347.05,22291.44,22401.122,26897.45,24920.004,26849.266,18212.918,12363.634,20271.516,21814.038,27087.016,25222.422,31277.756,32692.844,29874.714,33286.268,34125.05,34861.124,34147.874,36754.248,34958.126,30808.596,31429.916,33417.506,36919.088,34684.872,37011.018,32825.984,28621.296,30548.022,33206.384,36732.692,34995.532,38663.222,33529.724,30446.582,31923.802,33894.274,38368.412,35009.48,37315.972,35270.688,33616.582,84351.798,83323.45,89358.496,86577.772,96673.588,82536.656,80197.196,87611.826,86960.074,117175.246,113659.716,117231.038,117131.5,108216.192,108934.514,107003.35,116058.772,109231.86,114069.914,112481.744,98454.494,100464.274,105894.484,110908.79,104242.28,112832.98,110466.258,103814.964,106504.392,113222.89,115586.442
