DepCountryCode,ArrCountryCode,2021/07/01,2021/07/02,2021/07/03,2021/07/04,2021/07/05,2021/07/06,2021/07/07,2021/07/08,2021/07/09,2021/07/10,2021/07/11,2021/07/12,2021/07/13,2021/07/14,2021/07/15,2021/07/16,2021/07/17,2021/07/18,2021/07/19,2021/07/20,2021/07/21,2021/07/22,2021/07/23,2021/07/24,2021/07/25,2021/07/26,2021/07/27,2021/07/28,2021/07/29,2021/07/30,2021/07/31,2021/08/01,2021/08/02,2021/08/03,2021/08/04,2021/08/05,2021/08/06,2021/08/07,2021/08/08,2021/08/09,2021/08/10,2021/08/11,2021/08/12,2021/08/13,2021/08/14,2021/08/15,2021/08/16,2021/08/17,2021/08/18,2021/08/19,2021/08/20,2021/08/21,2021/08/22,2021/08/23,2021/08/24,2021/08/25,2021/08/26,2021/08/27,2021/08/28,2021/08/29,2021/08/30,2021/08/31,2021/09/01,2021/09/02,2021/09/03,2021/09/04,2021/09/05,2021/09/06,2021/09/07,2021/09/08,2021/09/09,2021/09/10,2021/09/11,2021/09/12,2021/09/13,2021/09/14,2021/09/15,2021/09/16,2021/09/17,2021/09/18,2021/09/19,2021/09/20,2021/09/21,2021/09/22,2021/09/23,2021/09/24,2021/09/25,2021/09/26,2021/09/27,2021/09/28,2021/09/29,2021/09/30,2021/10/01,2021/10/02,2021/10/03,2021/10/04,2021/10/05,2021/10/06,2021/10/07,2021/10/08,2021/10/09,2021/10/10,2021/10/11,2021/10/12,2021/10/13,2021/10/14,2021/10/15,2021/10/16,2021/10/17,2021/10/18,2021/10/19,2021/10/20,2021/10/21,2021/10/22,2021/10/23,2021/10/24,2021/10/25,2021/10/26,2021/10/27,2021/10/28,2021/10/29,2021/10/30,2021/10/31,2021/11/01,2021/11/02,2021/11/03,2021/11/04,2021/11/05,2021/11/06,2021/11/07,2021/11/08,2021/11/09,2021/11/10,2021/11/11,2021/11/12,2021/11/13,2021/11/14,2021/11/15,2021/11/16,2021/11/17,2021/11/18,2021/11/19,2021/11/20,2021/11/21,2021/11/22,2021/11/23,2021/11/24,2021/11/25,2021/11/26,2021/11/27,2021/11/28,2021/11/29,2021/11/30,2021/12/01,2021/12/02,2021/12/03,2021/12/04,2021/12/05,2021/12/06,2021/12/07,2021/12/08,2021/12/09,2021/12/10,2021/12/11,2021/12/12,2021/12/13,2021/12/14,2021/12/15,2021/12/16,2021/12/17,2021/12/18,2021/12/19,2021/12/20,2021/12/21,2021/12/22,2021/12/23,2021/12/24,2021/12/25,2021/12/26,2021/12/27,2021/12/28,2021/12/29,2021/12/30,2021/12/31,NA
2,7,2348.97,2969.656,1662.982,2408.566,1233.13,1723.212,2089.664,2348.97,3104.698,1504.482,2450.41,1233.13,1723.212,1991.394,2288.74,2740.35,1646.498,2326.146,972.556,1578.026,1889.32,2376.232,2730.004,1330.766,2176.522,1070.826,1549.496,2111.22,2262.112,2788.332,1232.496,2189.836,1070.826,1548.862,1730.82,2262.112,2852.366,1384.656,1926.092,1229.326,1647.766,1730.82,2360.382,2880.896,1501.946,1926.092,1229.326,1647.766,1952.72,2598.132,2852.366,1232.496,2049.088,1479.756,1619.236,1670.59,2103.612,2852.366,1482.926,1926.092,1504.482,1555.836,1921.02,2190.47,2846.026,1471.514,1926.092,1124.716,1769.494,1572.32,2354.042,3301.872,1543.156,1926.092,1346.616,1397.336,1670.59,2217.732,2882.798,1321.256,1675.662,1129.788,1397.336,1350.42,1846.842,2724.932,1548.228,1926.092,1031.518,1397.336,1695.316,1945.112,2600.034,1390.996,1735.892,776.016,1450.592,1632.55,1846.842,2699.572,1035.956,1827.822,1096.186,1362.466,1572.32,1966.668,2755.364,1292.726,1827.822,1194.456,1485.462,1632.55,1666.152,2625.394,1194.456,1827.822,1096.186,1362.466,1940.04,1808.168,2509.372,1410.016,1669.322,997.916,1485.462,1595.144,1721.31,2525.856,1134.226,1669.322,874.286,1485.462,1595.144,1841.136,2598.132,1153.246,1669.322,972.556,1513.992,1655.374,1721.31,2347.702,1232.496,1669.322,874.286,1451.226,1655.374,1721.31,2542.34,1232.496,1669.322,874.286,1457.566,3062.854,2313.466,5337.012,2110.586,3498.412,1222.986,2332.486,3186.484,2558.19,5257.128,2012.316,3498.412,1457.566,2459.286,3128.79,2329.95,5184.852,1926.726,3498.412,1070.826,2503.666,2821.934,2329.95,5296.436,1828.456,3498.412,1070.826,2346.636,3002.624,2526.49,5086.582,6554.926
7,2,2680.552,3140.836,1411.918,2320.44,1543.79,1631.282,2111.22,2593.694,3275.878,1411.918,2362.284,1226.79,1631.282,1854.45,2471.534,2814.96,1272.438,1929.262,966.216,1486.096,1593.876,2462.456,2742.684,1079.702,2088.396,1064.486,1457.566,1815.776,2430.756,2718.592,981.432,2101.71,1064.486,1456.932,1593.876,2472.6,2740.782,1133.592,1996.466,1064.486,1555.836,1593.876,2570.87,2769.312,1250.882,2260.21,1064.486,1555.836,1815.776,2586.72,2740.782,981.432,2119.462,1314.916,1527.306,1692.146,2472.6,2740.782,1231.862,1996.466,1339.642,1463.906,1942.576,2461.188,2991.212,1220.45,1739.696,1375.146,1677.564,1593.876,2669.774,3225.158,1133.592,1739.696,1438.546,1305.406,1850.646,2646.95,2710.984,911.692,1489.266,1221.718,1305.406,1371.976,2392.716,2594.962,1138.664,1739.696,1123.448,1305.406,1716.872,2408.566,2552.484,981.432,1549.496,1193.822,1580.562,1654.106,2151.796,2652.022,784.892,1863.326,966.216,1492.436,1593.876,2271.622,2707.814,883.162,1641.426,1064.486,1393.532,1654.106,2129.606,2577.844,784.892,1641.426,966.216,1333.936,1739.696,1954.622,2620.322,1000.452,1704.826,867.946,1450.592,1401.14,2288.74,2596.23,883.162,1482.926,1124.716,1292.092,1559.64,2203.15,2335.022,1060.682,1482.926,1222.986,1479.122,1619.87,2083.324,2335.022,1139.932,1482.926,1124.716,1416.356,1619.87,2083.324,2279.23,1139.932,1482.926,1505.116,1796.756,2580.38,3632.82,4858.976,1552.032,3182.046,1945.746,2408.566,2580.38,3844.576,4858.976,1453.762,3182.046,2240.556,2535.366,2430.756,3405.214,4747.392,1460.102,3438.816,1761.886,2624.126,2307.76,3189.654,4747.392,1577.392,3438.816,1541.456,3007.696,2488.45,2755.364,3861.06,15885.072
7,5,1628.112,1196.358,1135.494,1006.792,603.568,1086.042,916.764,933.248,1035.322,1274.974,1011.864,603.568,1184.312,916.764,1213.476,820.396,1427.768,1023.276,743.048,982.7,720.224,893.94,884.43,905.352,763.336,546.508,987.772,736.708,893.94,884.43,1907.072,913.594,575.038,860.972,736.708,736.708,973.824,850.194,1070.826,530.024,844.488,736.708,809.618,900.914,563.626,694.23,324.608,721.492,720.224,754.46,763.336,909.156,913.594,575.038,781.088,720.224,782.99,838.782,954.17,687.256,575.038,797.572,1236.934,1090.48,1035.322,1058.78,1011.864,679.648,1180.508,1173.534,1044.198,1035.322,1122.18,1011.864,603.568,1209.038,1236.934,1183.678,1035.322,1279.412,872.384,726.564,696.132,1236.934,1090.48,1174.802,1262.928,1011.864,726.564,977.628,1236.934,1167.194,711.982,925.64,1077.8,448.238,746.218,1046.734,749.388,810.252,925.64,826.736,308.758,746.218,942.124,888.868,711.982,1082.872,641.608,361.38,798.84,855.266,662.53,625.124,990.942,641.608,361.38,798.84,855.266,708.812,625.124,897.744,851.462,420.976,812.154,914.862,1031.518,807.716,940.222,851.462,404.492,1015.034,914.862,1065.754,899.646,1004.256,851.462,420.976,921.836,1072.094,989.04,899.646,1102.526,851.462,420.976,1015.034,1008.694,1065.754,871.116,1195.724,974.458,420.976,1265.464,3710.168,2846.66,2804.182,3764.692,2198.078,2003.44,2243.092,2445.08,1622.58,2594.328,3804,2567.066,1306.04,1742.232,2909.168,2314.1,2594.328,2932.25,2567.066,1306.04,1647.132,2622.6,2350.238,2681.186,3101.528,2567.066,1306.04,2111.22,3804,2178.424,1946.38,210
14,2,909.156,1096.186,1235.032,909.156,760.8,1233.13,844.488,790.8,1381.486,1141.2,909.156,852.73,1233.13,740.512,1001.086,949.3,1245.176,899.012,852.73,1222.986,750.656,1001.086,1067.656,1363.1,909.156,852.73,1011.23,854.632,687.256,1067.656,1141.2,909.156,852.73,1233.13,750.656,990.942,882.73,982.7,750.656,760.8,1222.986,750.656,1105.062,687.256,982.7,750.656,852.73,1212.842,632.3,1001.086,1057.512,1141.2,790.8,842.586,1381.486,854.632,990.942,1057.512,1141.2,750.656,852.73,1222.986,632.3,1296.53,790.8,982.7,958.176,852.73,1326.962,632.3,1296.53,882.73,982.7,1012.7,859.07,1165.926,789.532,1559.006,949.3,1086.676,1012.7,864.776,1475.318,789.532,1455.03,949.3,982.7,1116.676,852.73,1485.462,597.632,720.83,558.756,982.7,518.612,538.9,468.93,375.732,1104.63,377,568.9,366.856,438.93,218.5,534.232,1141.2,627.43,468.93,525.356,438.93,627.43,567.632,663.77,627.43,475.27,525.356,438.93,819.33,567.632,1041.23,627.43,660.83,717.256,347,825.67,375.732,1080.97,1011.23,1141.2,1131.056,538.9,633.77,375.732,697.17,627.43,565.5,939.156,347,633.77,759.532,1070.826,1011.23,1141.2,1012.7,538.9,825.67,759.532,1080.97,1017.57,1141.2,1012.7,538.9,727.4,2027.532,954.17,2436.462,1299.7,2250.7,538.9,955.64,1938.772,919.3,1965.4,1141.2,1951.02,538.9,1147.54,2464.992,919.3,2028.8,1141.2,2868.216,538.9,1147.54,2883.432,919.3,2028.8,919.3,2302.66,568.9,763.74,2691.532,535.5,1486.5,15934.524
14,10,407.662,0,250.43,157.232,0,0,0,407.662,0,0,0,0,0,0,157.232,0,0,0,0,0,0,157.232,0,0,157.232,221.9,0,0,157.232,0,0,0,0,0,0,157.232,0,0,0,0,221.9,467.892,379.132,221.9,221.9,221.9,0,0,443.8,157.232,221.9,221.9,221.9,0,0,443.8,157.232,221.9,221.9,221.9,0,0,0,157.232,0,221.9,467.892,0,0,221.9,157.232,250.43,221.9,250.43,0,0,250.43,379.132,250.43,250.43,250.43,0,0,250.43,157.232,250.43,250.43,250.43,0,0,250.43,379.132,0,0,0,0,250.43,496.422,407.662,250.43,250.43,250.43,250.43,250.43,496.422,407.662,250.43,250.43,250.43,250.43,250.43,496.422,407.662,250.43,250.43,250.43,250.43,0,496.422,157.232,250.43,250.43,0,0,0,221.9,0,114.12,0,114.12,114.12,0,336.02,0,114.12,0,114.12,114.12,0,472.33,0,364.55,0,250.43,364.55,0,586.45,0,364.55,0,364.55,364.55,0,1098.088,983.968,159.768,983.968,1394.166,364.55,0,1348.518,983.968,410.198,983.968,1252.15,364.55,0,1348.518,1536.182,822.932,1600.85,507.2,336.02,0,1001.72,1600.85,336.02,1693.414,507.2,336.02,393.08,1001.72,1109.5,114.12,6235.39
14,12,576.306,0,629.562,250.43,250.43,629.562,250.43,576.306,0,629.562,250.43,250.43,629.562,373.426,576.306,0,733.538,472.33,250.43,629.562,250.43,576.306,0,629.562,250.43,250.43,851.462,373.426,576.306,0,629.562,250.43,250.43,629.562,472.33,921.202,0,629.562,472.33,250.43,629.562,373.426,576.306,0,629.562,380.4,250.43,752.558,250.43,576.306,0,629.562,694.23,250.43,629.562,250.43,576.306,448.872,629.562,459.65,250.43,961.778,472.33,576.306,0,629.562,250.43,250.43,629.562,250.43,699.302,0,629.562,472.33,250.43,856.534,595.326,576.306,0,629.562,472.33,250.43,733.538,373.426,576.306,0,733.538,250.43,250.43,629.562,478.67,582.646,0,733.538,250.43,250.43,733.538,496.422,576.306,122.996,733.538,250.43,250.43,629.562,496.422,576.306,122.996,641.608,250.43,158.5,733.538,373.426,576.306,0,641.608,250.43,158.5,733.538,576.306,576.306,0,484.376,158.5,407.662,408.93,595.326,408.93,157.232,415.27,380.4,407.662,408.93,595.326,415.27,157.232,415.27,380.4,407.662,408.93,373.426,415.27,157.232,415.27,158.5,408.93,408.93,373.426,415.27,158.5,408.93,538.266,407.662,408.93,916.13,415.27,379.132,408.93,404.492,315.732,317,626.392,158.5,280.228,456.48,404.492,315.732,317,626.392,348.7,280.228,456.48,404.492,315.732,317,626.392,348.7,379.132,456.48,404.492,315.732,317,576.94,348.7,280.228,5917.756
0,1,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0,0,0,0,228.24,0,228.24,0
0,2,250.43,158.5,0,472.33,0,158.5,726.564,601.032,158.5,0,725.93,0,0,726.564,379.132,158.5,0,725.93,0,250.43,726.564,601.032,158.5,0,725.93,0,0,801.376,379.132,182.592,0,725.93,0,158.5,726.564,694.23,158.5,0,632.732,0,0,801.376,221.9,158.5,0,632.732,0,158.5,801.376,601.032,221.9,0,475.5,0,0,801.376,379.132,221.9,0,221.9,0,158.5,801.376,694.23,221.9,0,632.732,0,158.5,726.564,379.132,221.9,0,379.132,0,0,801.376,379.132,221.9,0,379.132,0,0,726.564,379.132,221.9,0,379.132,0,0,801.376,250.43,221.9,0,472.33,0,0,726.564,250.43,221.9,0,379.132,0,0,726.564,694.23,182.592,0,472.33,0,0,726.564,157.232,158.5,0,379.132,0,0,801.376,379.132,158.5,0,379.132,0,0,801.376,379.132,182.592,0,379.132,0,0,801.376,379.132,158.5,0,379.132,0,0,801.376,472.33,158.5,0,472.33,250.43,0,801.376,694.23,158.5,0,472.33,0,0,2879.628,916.13,443.8,0,916.13,0,250.43,2655.192,916.13,443.8,0,916.13,0,0,2655.192,916.13,443.8,0,916.13,443.8,250.43,2404.128,916.13,443.8,0,1676.93,0,0,2404.128,916.13,443.8,0
0,2,271.756,992.412,218.5,60,248.5,271.756,331.756,311.9,823.768,248.5,90,278.5,271.756,361.756,90,853.768,248.5,30,248.5,301.756,361.756,523.656,853.768,642.012,120,90,301.756,331.756,150,695.268,218.5,90,90,90,652.156,563.8,120,582.012,60,90,180,401.9,533.8,331.756,248.5,533.8,150,523.656,470.4,967.456,503.8,662.3,60,440.4,150,180,341.9,120,440.4,150,120,150,361.756,341.9,120,440.4,301.756,331.756,553.656,421.756,331.756,150,248.5,503.8,301.756,331.756,361.756,331.756,150,248.5,533.8,513.512,301.756,361.756,331.756,120,278.5,503.8,361.756,331.756,391.756,150,120,338.5,150,331.756,90,301.756,550.256,331.756,1234.168,543.512,543.512,150,120,633.512,150,240,460.256,543.512,553.656,331.756,421.756,331.756,732.012,150,361.756,705.412,120,613.656,150,550.256,331.756,150,341.9,331.756,997.456,150,1196.1,533.8,725.7,553.656,361.756,653.8,371.9,1004.2,785.7,563.8,371.9,725.7,1219.356,623.8,1196.1,563.8,755.7,563.8,745.556,997.456,341.9,1196.1,563.8,755.7,563.8,1591.256,4407.136,4042.76,2251.8,1631.4,995.7,983.8,985.556,1417.456,881.9,1484.2,803.8,995.7,983.8,1177.456,1337.6,540,1424.2,863.8,713.8,701.9,763.656,883.656,660,851.9,641.9,330,480,390,540,1721.4,0
0,3,98.27,0,0,0,0,0,325.876,0,0,0,0,0,0,325.876,0,0,0,0,0,0,325.876,0,0,0,0,0,0,221.9,0,0,0,0,0,0,325.876,0,0,0,0,0,0,325.876,98.27,0,0,0,0,0,325.876,0,0,0,0,0,0,325.876,0,221.9,0,0,0,0,325.876,325.876,0,0,0,0,325.876,0,221.9,0,0,114.12,0,325.876,0,0,0,0,0,0,325.876,0,0,0,0,0,0,0,325.876,0,0,0,0,0,0,0,325.876,0,0,0,0,0,221.9,0,0,0,0,0,325.876,0,0,0,0,0,0,325.876,0,0,0,0,0,0,0,325.876,0,0,0,0,0,0,325.876,0,0,0,0,0,0,325.876,0,0,0,0,0,0,325.876,0,0,0,0,0,0,1303.504,0,325.876,0,0,0,0,1303.504,0,325.876,0,0,0,0,887.6,0,325.876,0,0,0,0,887.6,0,325.876,0,0,0,0,887.6,0,0,0
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.232,0,157.232,0,157.232,0,0,157.232,0,157.232,0,157.232,0,0,157.232,0,157.232,0,157.232,245.992,0,157.232,245.992,157.232,245.992,157.232,245.992,0,157.232,403.224,157.232,403.224,157.232,403.224,0,403.224,403.224,403.224,245.992,245.992,245.992,245.992,245.992,403.224,157.232,0
