airport,internal_commuting_flow
CBR,16328.45703
NAA,4911.362645
PKE,9485.671934
ARM,6651.669956
MRZ,3801.19485
OOM,19843.90419
DBO,13955.80271
IVR,7169.328665
GFF,10182.89602
GFN,7338.613382
WGE,802.8272704
TRO,12400.81871
NRA,5904.733814
DGE,7897.203375
BHQ,5732.255193
MYA,21203.10559
MIM,6826.973604
LHG,252.640204
SYD,922381.9004
BHS,19647.49118
NTL,155659.888
TMW,16006.13148
ABX,5359.000104
PQQ,14393.36326
WGA,24725.20675
LSY,19501.50684
CAZ,590.2226823
OAG,14312.42493
CFS,8539.344492
WOL,83889.86617
BRK,186.24155
OOL,1744.788801
GTE,249.437135
TCA,478.8529185
KTR,1767.85085
ASP,2792.522917
AYQ,219.0106607
DRW,23931.31721
GOV,76.69565654
MCV,110.7029265
ELC,422.6208315
MNG,997.2511133
BRT,118.6655851
MGT,46.04545
AUU,193.3058055
EMD,5976.128333
RMA,1791.312266
ZBL,3479.466444
WTB,61867.31356
MOV,2460.061246
MOO,2989.940549
ROK,15291.1502
PPP,3488.637278
BKQ,135.5380468
CTN,371.1171757
MKY,13698.14456
GLT,12721.9079
TSV,29572.44035
HVB,17976.07938
BDB,14975.13383
CNS,42200.49278
CTL,548.8956968
ISA,2603.951681
KWM,104.2656649
XTG,12.3816
MCY,45985.81327
BQL,13.486
RCM,43.74755
WEI,411.1229286
CUQ,17.00655
CNJ,194.4213607
BCI,174.5478507
JCK,18.5757
BUC,19.921
SGO,448.0306396
ULP,34.23035
IRG,34.84855
WIN,54.8559
EDR,63.239
HGD,65.89165
LRE,360.8241544
KRB,66.6237
BNE,626038.0841
NTN,69.35225
DMD,70.2416
CMA,72.6341
ABM,187.36685
BDD,201.8742
ADL,235841.5852
WYA,16143.76447
PLO,4161.42815
CED,497.0272384
MGB,14088.81005
KGC,2250.029706
CPD,270.1483265
GTS,237.8727489
OLP,558.6746531
HBA,26371.35848
BWT,6662.972677
FLS,163.0350942
LST,21436.71048
DPO,10736.9575
SRN,1071.622077
KNS,110.86515
MEB,879629.7306
MQL,5528.559906
BXG,112016.5918
AVV,81528.25468
MEL,90418.09858
GET,3816.287137
ALH,9948.160446
PER,366440.0782
EPR,489.1788687
FIZ,355.1199308
KGI,5104.056823
BYP,191.794469
ZNE,587.6388988
BQW,246.0570576
CJF,207.4345064
BQB,33471.42611
PBO,518.2255902
TEF,36.32596835
BME,195.6585597
PHE,1121.342098
LVO,102.8841343
CVQ,783.3361501
HCQ,108.4281
MKR,76.6309603
DRB,483.0392234
KNX,1089.471341
MMG,84.72614107
WUN,17.48505
LEA,319.36355
UBU,25.76035
KTA,1410.026161
LER,43.7371
MJK,47.21915
LNO,49.3504
BWN,47392.22139
TXE,304525.4202
BTJ,193749.4678
MEQ,114471.9031
LSW,211749.779
BWX,1451809.645
TJQ,34773.50284
PGK,241069.0819
BKS,372677.3103
CGK,3054049.176
GTO,194575.6355
DJB,358087.9683
BUU,483025.0235
TSY,2352886.737
BDO,8107928.207
MLG,3192652.805
JBB,688966.1819
SUB,3103987.624
HLP,495625.6316
CPF,238688.9542
SOC,1239140.658
PWL,2642555.134
SRG,1441811.702
PSU,71160.95788
SQG,231937.3482
KTG,108497.8592
PNK,712620.0934
BKM,31212.66165
LNU,33837.74129
TJS,31724.43444
BEJ,874971.7929
TRK,43617.15865
NNX,9057.56363
LMU,8269.721106
SIQ,10452.60645
BTH,420055.3038
BTW,368017.3147
BDJ,530136.3973
PKY,431344.0415
PKN,240400.7008
TKG,1902134.267
LUV,33484.03391
NRE,229255.024
SXK,28769.00348
KAZ,171724.1305
LAH,55444.6546
SQN,35189.8096
SWQ,75369.28753
LOP,702192.9743
SAE,104025.864
BMU,39809.12272
WGP,119136.5976
ABU,188249.3826
LWE,63912.15828
KOE,125385.881
LBJ,22330.82995
BJW,61817.6396
ENE,50146.45552
RTG,73632.43098
MOF,49786.67477
WMX,436986.1568
ZRI,36514.37006
DJJ,138436.8479
TMH,63523.72892
OKL,39769.8534
DEX,71779.01302
EWE,34222.60251
TIM,545864.7159
MKQ,73205.72911
BIK,40417.00426
SOQ,114811.3544
BXB,32143.5009
MKW,78126.82991
FKQ,19626.94712
KNG,20907.83924
PKU,1290946.239
DUM,495959.1989
MDC,439216.9091
KRC,159156.1095
PDG,1014764.418
KDI,385179.182
RAQ,71835.64769
BUW,61365.03354
LLO,317881.4706
TTR,643342.8346
UPG,921417.5151
LLJ,477006.775
PLM,1276129.768
MOH,23932.15723
PSJ,58171.82911
OJU,61678.30495
LUW,69059.97067
UOL,11606.857
TLI,102479.4638
PLW,199558.1702
DTB,724460.748
AEG,396742.0438
FLZ,126874.8757
GNS,101902.6928
KNO,1512731.624
JOG,555495.1424
IXZ,41038.33591
RJA,1817971.076
KJB,1614125.243
CDP,1958076.385
VTZ,1964176.692
TIR,1515888.956
VGA,2941280.864
TEI,74965.77369
IXT,311705.219
IXS,869413.0049
JRH,796078.5938
DIB,964346.6557
TEZ,1923891.899
GAU,2104719.33
RUP,1224022.481
IXI,182604.4677
GAY,4713217.872
PAT,10955344.24
DBR,16347724.56
JGB,738510.329
RPR,7617420.003
ISK,2241332.921
DEL,10141314.68
GOI,239921.5873
BHJ,268616.3523
IXY,475485.0882
RAJ,1255156.573
AMD,5227184.297
JGA,239486.2032
BHU,3820777.691
PBD,315445.285
IXK,526272.9194
DIU,370287.2723
BDQ,3771977.059
KUU,271602.764
DHM,410387.2022
SLV,368557.3027
IXP,111081.8316
PAB,351784.8653
IXR,9997813.207
IXJ,1249156.897
SXR,2713799.81
HBX,1921922.337
IXG,1535793.342
IXE,1498164.919
MYQ,2321849.462
VDY,2625640.98
BLR,3705416.624
IXX,1438417.748
COK,1803485.824
TRV,1465682.785
CCJ,1760458.965
CNN,829645.8061
IXL,98754.99239
NAG,4291601.945
KLH,2956679.237
IXU,5031924.326
SAG,1244565.013
PNQ,3833108.547
NDC,4763732.617
BOM,2147671.486
JUH,1067592.437
SHL,946197.9796
IMF,803620.1867
HJR,4141533.304
JLR,4440530.295
BHO,4921147.014
IDR,6428722.367
GWL,2839566.776
AJL,334194.349
DMU,378687.5226
BBI,8348433.601
JRG,4040192.36
BUP,1926113.221
LUH,3001215.33
ATQ,2282347.838
IXC,1092498.888
JSA,792233.0109
BKB,2706296.403
JDH,2442796.818
JAI,9005362.17
KQH,2589356.77
UDR,4257349.787
PYG,91740.9406
BPM,7395288.656
HYD,2163693.691
TCR,1436905.326
CJB,2091900.315
SXV,3822851.762
IXM,2609337.482
TRZ,3635531.378
MAA,3616004.402
IXA,914951.7625
KNU,6791600.021
AGR,21996205.74
VNS,7070428.457
IXD,3303917.306
LKO,9969415.289
BEK,3211312.861
GOP,9490538.671
PGH,1274182.719
DED,1598670.584
CCU,13247974.86
IXB,3399196.66
RDP,6971308.311
WKJ,13783.61892
AKJ,176061.5506
KUH,44198.37951
OBO,97447.5391
MBE,29858.37965
OIR,34032.67594
CTS,121766.1464
SHB,23428.04628
MMB,40577.55892
OKD,623624.0347
AOJ,184653.1743
MSJ,80965.58388
HNA,367718.7038
SDJ,484802.4143
ONJ,49592.23362
AXT,172315.8413
GAJ,152566.4003
SYO,47528.11105
FKS,493609.0363
IBR,1292271.036
HND,6251607.518
NRT,964088.9171
HAC,595.74185
KIJ,485502.8674
TOY,183291.9274
NTQ,21584.25008
KMQ,386256.2573
MMJ,708412.7754
NKM,1393444.176
FSZ,725326.4913
NGO,977090.3367
ITM,2144158.325
KIX,158445.617
TJH,754972.1604
SHM,28494.90513
YGJ,30547.09162
TTJ,31639.96727
IZO,64994.6141
IWJ,18927.01909
OKJ,354595.7181
HIJ,521017.5586
IWK,80954.3723
UBJ,187346.6751
TKS,122972.5118
TAK,39300.62582
MYJ,168530.4356
KCZ,118948.1248
FUK,201302.4366
KKJ,298124.6122
HSG,148090.8358
TSJ,5815.6208
FUJ,2900.51575
IKI,11001.925
KMJ,523544.4422
AXJ,9755.043854
