Country_code,Region_code,Population,Suspectible,Vaccinated,Latent,Infecitious,Removed
0,0,296064,275718,19990.56,0.47,3.01,352.32
0,1,8350506,7776636,563834.46,13.34,84.92,9937.07
0,2,362484,337573,24475.29,0.58,3.69,431.35
0,3,4994545,4651306,337236.63,7.98,50.79,5943.49
0,4,1774621,1652664,119824.17,2.84,18.05,2111.79
0,5,435242,405331,29387.94,0.7,4.43,517.94
0,6,6760960,6296328,456506.75,10.8,68.76,8045.52
0,7,2592041,2413909,175017.19,4.14,26.36,3084.52
1,8,404943,389572,15109,0.79,5,256
2,9,58594320,37404247,21185768.97,1.62,10.33,4292.29
2,10,29617570,18906660,10708734.14,0.82,5.22,2169.62
2,11,24981698,15947307,9032556.09,0.69,4.4,1830.02
2,12,34241608,21858459,12380633.28,0.95,6.04,2508.35
2,13,109756269,70063968,39684238.11,3.04,19.35,8040.13
2,14,25453219,16248307,9203042.42,0.71,4.49,1864.56
2,15,40437339,25813564,14620804.82,1.12,7.13,2962.21
2,16,29811529,19030476,10778863.4,0.83,5.26,2183.83
2,17,93264670,59536398,33721421.03,2.58,16.44,6832.05
2,18,53843750,34371675,19468119.66,1.49,9.49,3944.29
2,19,76631964,48918750,27707584.62,2.12,13.51,5613.63
2,20,7159968,4570634,2588807.57,0.2,1.26,524.5
2,21,46136055,29451394,16681272.26,1.28,8.13,3379.67
2,22,61632714,39343835,22284351.64,1.71,10.87,4514.87
2,23,31492214,20103357,11386543.39,0.87,5.55,2306.94
2,24,84186665,53741366,30439114.83,2.33,14.84,6167.05
2,25,45647361,29139431,16504576.4,1.26,8.05,3343.87
2,26,51224801,32699844,18521194.46,1.42,9.03,3752.44
2,27,28645109,18285881,10357124.43,0.79,5.05,2098.38
2,28,7200564,4596549,2603486.01,0.2,1.27,527.47
2,29,6498597,4148442,2349677.82,0.18,1.15,476.05
2,30,73349367,46823273,26520706.15,2.03,12.93,5373.17
2,31,105577767,67396582,38173430.05,2.92,18.61,7734.04
2,32,27292423,17422380,9868037.75,0.76,4.81,1999.29
2,33,37173259,23729907,13440621.38,1.03,6.55,2723.11
2,34,39784410,25396760,14384727.33,1.1,7.01,2914.38
2,35,19467057,12426983,7038644.16,0.54,3.43,1426.05
2,36,27684880,17672909,10009937.14,0.77,4.88,2028.04
2,37,3301661,2107647,1193771.31,0.09,0.58,241.86
2,38,43958829,28061540,15894059.04,1.22,7.75,3220.18
2,39,60019034,38313727,21700898.48,1.66,10.58,4396.66
2,40,21203406,21145134,43346,72.91,464,14389
2,41,8588613,8427165,149517,3.46,22,11905
3,42,4142964,3852544,249625.43,429.33,2732.09,37633.84
3,43,1262817,1174294,76088.35,130.86,832.77,11471.18
3,44,1660663,1544251,100059.68,172.09,1095.13,15085.12
3,45,14996649,13945388,903590.9,1554.08,9889.58,136226.5
3,46,942974,876872,56816.89,97.72,621.85,8565.79
3,47,3213869,2988578,193644.81,333.05,2119.39,29194.13
3,48,41637805,38719006,2508796.64,4314.85,27458.15,378229.33
3,49,35651307,33152160,2148093.03,3694.48,23510.34,323849.2
3,50,9011375,8379680,542961.07,933.83,5942.57,81857.49
3,51,24576605,22853791,1480810.59,2546.83,16207.1,223248.86
3,52,4016211,3734676,241988.17,416.19,2648.5,36482.44
3,53,4464856,4151871,269020.31,462.69,2944.36,40557.84
3,54,2891295,2688616,174208.77,299.62,1906.67,26263.93
3,55,3626099,3371911,218482.83,375.77,2391.24,32938.75
3,56,2150056,1999338,129547.03,222.81,1417.86,19530.67
3,57,6596630,6134208,397465.78,683.6,4350.16,59922.44
3,58,1706002,1586412,102791.51,176.79,1125.03,15496.98
3,59,1298486,1207462,78237.47,134.56,856.29,11795.18
3,60,4652734,4326579,280340.52,482.15,3068.26,42264.49
3,61,4023004,3740992,242397.45,416.9,2652.98,36544.14
3,62,5441644,5060186,327874.57,563.91,3588.51,49430.78
3,63,1180457,1097707,71125.9,122.33,778.46,10723.03
3,64,6337137,5892905,381830.57,656.71,4179.04,57565.26
3,65,2023095,1881277,121897.26,209.65,1334.14,18377.38
3,66,4642635,4317187,279731.99,481.11,3061.6,42172.75
3,67,2242929,2085701,135142.9,232.43,1479.11,20374.31
3,68,7369417,6852823,444028.43,763.68,4859.78,66942.28
3,69,6202437,5767648,373714.51,642.75,4090.21,56341.67
3,70,2511167,2335135,151304.99,260.23,1656,22810.93
3,71,12048767,11204152,725972.62,1248.59,7945.59,109448.54
3,72,3594287,3342328,216566.04,372.47,2370.26,32649.77
4,73,368587,342117,17453.02,15.04,95.71,8906.86
4,74,44821833,41602887,2122365.03,1828.9,11638.46,1083113.35
4,75,1660535,1541282,78628.25,67.76,431.18,40126.61
4,76,32281162,29962843,1528549.91,1317.19,8382.14,780069.77
4,77,114906526,106654345,5440955.4,4688.62,29836.69,2776700.21
4,78,26628860,24716469,1260906.94,1086.56,6914.46,643482.68
4,79,40605756,37689594,1922728.98,1656.87,10543.71,981232.44
4,80,1570130,1457369,74347.47,64.07,407.7,37941.98
4,81,70031665,65002238,3316079.42,2857.56,18184.46,1692305.44
4,82,7388751,6858117,349865.82,301.49,1918.57,178548.14
4,83,35403578,32861018,1676399.88,1444.6,9192.91,855522.52
4,84,14514654,13472263,687285.46,592.25,3768.88,350744.59
4,85,58348401,54158025,2762863.5,2380.84,15150.78,1409980.99
4,86,27173032,25221560,1286674.11,1108.76,7055.76,656632.53
4,87,351939,326664,16664.74,14.36,91.38,8504.57
4,88,114362840,106149704,5415211.21,4666.44,29695.52,2763562.1
4,89,4144063,3846451,196226.13,169.09,1076.05,100140.71
4,90,3230917,2998884,152987.61,131.83,838.94,78074.66
4,91,75836411,70390108,3590940.76,3094.41,19691.72,1832576.31
4,92,1242693,1153447,58842.92,50.71,322.68,30029.5
4,93,1662001,1542642,78697.64,67.82,431.56,40162.02
4,94,41877711,38870202,1982957.5,1708.77,10873.99,1011969.06
4,95,33147792,30767235,1569585.84,1352.56,8607.17,801011.77
4,96,74453463,69106479,3525456.62,3037.98,19332.63,1799157.58
4,97,633509,588013,29997.39,25.85,164.5,15308.67
4,98,34371822,31903359,1627545.05,1402.5,8925.01,830590.28
4,99,65764602,61041621,3114029.1,2683.45,17076.47,1589192.45
4,100,3999688,3712445,189389.82,163.2,1038.56,96651.91
4,101,215938156,200430241,10224918.59,8811.1,56070.62,5218115.48
4,102,10991540,10202166,520461.98,448.5,2854.07,265609.03
4,103,89323121,82908250,4229551.92,3644.72,23193.69,2158480.79
5,104,5923970,5334474,548111,14.3,235,41136
5,105,1326755,1142989,181264,0,39,2463
5,106,1391737,1252825,137231,0,28,1653
5,107,2363285,2074277,279866,1,49,9092
5,108,1011776,913752,97134,0,98,792
5,109,1078399,908696,167683,0,0,2020
5,110,1926952,1666891,255156,0,91,4814
5,111,5938020,5451198,469195,4.3,394,17228
5,112,28980550,25660937,3022650,138.1,5810,291015
5,113,7169223,6546798,581974,8.5,850,39592
5,114,2187328,1876430,307495,0,11,3392
5,115,1013286,876716,134528,0,13,2029
5,116,2115692,1843365,267092,0,104,5131
5,117,2780818,2410701,362973,0.8,77,7066
5,118,3301681,2910738,381596,0.3,232,9115
5,119,12339952,11022076,1252327,0.8,452,65096
5,120,12270665,10515571,1621080,12.5,919,133083
5,121,4200405,3531497,627958,1,157,40792
5,122,247645,78954,166002,0,18,2671
5,123,535464,454520,80463,0,15,466
5,124,554951,462592,91806,0,2,551
5,125,1818712,1540301,270820,0,7,7584
5,126,2462843,2202605,248734,0.3,53,11451
5,127,1495077,1269797,222135,0,26,3119
5,128,747316,627180,118480,0.3,2,1654
5,129,557954,422967,132891,0,12,2084
5,130,999309,831799,164756,0,4,2750
5,131,691046,564705,124510,0,63,1768
5,132,3731431,3042734,653144,2.3,214,35337
5,133,1112386,979901,129924,0,8,2553
5,134,305641,128420,174024,0,67,3130
5,135,2673918,2246923,417018,0,25,9952
5,136,2150776,1785216,358795,0.3,55,6710
5,137,4700809,4562259,117731,0,456,20363
6,138,4700792,3655432,1028028,313.21,1993.16,15025.24
6,139,9194548,7149870,2010779,612.63,3898.54,29388.73
6,140,297854,231617,65138,19.85,126.29,952.04
7,141,8902512,8073961,803760,116.41,740.77,23933.2
7,142,2152687,1952338,194355,28.15,179.12,5787.21
7,143,5110946,4635274,461440,66.83,425.28,13740.09
7,144,5711147,5179615,515629,74.68,475.22,15353.65
7,145,1170335,1061413,105663,15.3,97.38,3146.29
7,146,25609151,23225725,2312113,334.86,2130.91,68846.75
7,147,1542336,1398792,139249,20.17,128.34,4146.36
7,148,1400915,1270533,126481,18.32,116.57,3766.17
7,149,2353874,2134801,212519,30.78,195.86,6328.07
7,150,2677368,2428187,241725,35.01,222.78,7197.74
7,151,574129,520696,51835,7.51,47.77,1543.47
8,152,1362435,1247652,114336,2.06,13.09,432
8,153,722654,661772,60645,1.09,6.94,229
8,154,625417,572727,52485,0.94,6.01,198
8,155,287680,263444,24142,0.43,2.76,91
8,156,1270200,1163188,106595,1.92,12.21,403
8,157,774692,709425,65012,1.17,7.44,246
8,158,216025,197826,18129,0.33,2.08,69
8,159,1401168,1283122,117586,2.12,13.46,444
9,160,6198016,5975834,202111.01,169.43,1078.18,18822.81
9,161,3677016,3545205,119903.75,100.51,639.64,11166.76
9,162,10391194,10018699,338846.29,284.05,1807.61,31557.12
9,163,1226595,1182625,39998.02,33.53,213.37,3725.06
9,164,14070263,13565883,458816.99,384.62,2447.61,42730.11
9,165,1878113,1810788,61243.35,51.34,326.71,5703.66
9,166,255887,246714,8344.21,6.99,44.51,777.11
9,167,3155130,3042028,102885.6,86.25,548.85,9581.85
9,168,2222608,2142934,72477.01,60.76,386.64,6749.86
9,169,6552604,6317712,213673.78,179.12,1139.87,19899.67
10,170,4030590,3548296,366747.33,998.95,6356.97,108190.28
10,171,2259293,1988950,205575.28,559.95,3563.31,60644.6
10,172,1801710,1586120,163939.32,446.54,2841.62,48362.02
10,173,465534,409829,42359.4,115.38,734.23,12496
