apt_code,airport,total_population,,provinces
0,CBR,296064.38,AU,AU-ACT
1,BHQ,84665.32,AU,AU-NSW
2,BRK,4761.36,AU,AU-NSW
3,CAZ,9017.33,AU,AU-NSW
4,GFF,76731.48,AU,AU-NSW
5,BHS,117019.49,AU,AU-NSW
6,LHG,4205.71,AU,AU-NSW
7,OOM,214994.17,AU,AU-NSW
8,WGE,8103.86,AU,AU-NSW
9,WOL,557446.31,AU,AU-NSW
10,DBO,69857.5,AU,AU-NSW
11,MRZ,22709.65,AU,AU-NSW
12,NAA,25758.97,AU,AU-NSW
13,DGE,36413.69,AU,AU-NSW
14,PKE,42989.85,AU,AU-NSW
15,MYA,113835.11,AU,AU-NSW
16,MIM,42732.78,AU,AU-NSW
17,ARM,40195.37,AU,AU-NSW
18,IVR,35463.66,AU,AU-NSW
19,GFN,47163.82,AU,AU-NSW
20,TRO,73762.97,AU,AU-NSW
21,NRA,34149.33,AU,AU-NSW
22,SYD,5151406.33,AU,AU-NSW
23,NTL,893832.15,AU,AU-NSW
24,TMW,91970.39,AU,AU-NSW
25,ABX,35047.61,AU,AU-NSW
26,PQQ,109037.03,AU,AU-NSW
27,WGA,134333.1,AU,AU-NSW
28,LSY,109311.57,AU,AU-NSW
29,OAG,84427.12,AU,AU-NSW
30,CFS,56550.87,AU,AU-NSW
31,OOL,22611.83,AU,AU-NSW
32,ASP,33633.82,AU,AU-NT
33,AYQ,3302.74,AU,AU-NT
34,GTE,2746.22,AU,AU-NT
35,TCA,7376.31,AU,AU-NT
36,KTR,13963.4,AU,AU-NT
37,MCV,1914.04,AU,AU-NT
38,MGT,1118.5,AU,AU-NT
39,MNG,8121.8,AU,AU-NT
40,GOV,1104.24,AU,AU-NT
41,DRW,283179.25,AU,AU-NT
42,BRT,1331.2,AU,AU-NT
43,ELC,4692.65,AU,AU-NT
44,EDR,1164.53,AU,AU-QLD
45,AUU,3169.1,AU,AU-QLD
46,KWM,1381.66,AU,AU-QLD
47,CUQ,392.29,AU,AU-QLD
48,ABM,3425.52,AU,AU-QLD
49,IRG,692.04,AU,AU-QLD
50,WEI,6815.88,AU,AU-QLD
51,BVI,117.44,AU,AU-QLD
52,WNR,519.6,AU,AU-QLD
53,XTG,497.55,AU,AU-QLD
54,BEU,177.16,AU,AU-QLD
55,BQL,442.76,AU,AU-QLD
56,ROK,105403.27,AU,AU-QLD
57,ISA,22184.94,AU,AU-QLD
58,PHQ,273.95,AU,AU-QLD
59,TQP,407.82,AU,AU-QLD
60,BUC,498.82,AU,AU-QLD
61,KRB,1252.88,AU,AU-QLD
62,NTN,1804.86,AU,AU-QLD
63,JCK,904.57,AU,AU-QLD
64,CTN,3633.48,AU,AU-QLD
65,ULP,872.39,AU,AU-QLD
66,BKQ,2558.94,AU,AU-QLD
67,WIN,1403.81,AU,AU-QLD
68,LRE,4255.77,AU,AU-QLD
69,CNS,227059.77,AU,AU-QLD
70,DMD,1547.56,AU,AU-QLD
71,ONG,47.55,AU,AU-QLD
72,RCM,1355.46,AU,AU-QLD
73,CTL,5276.04,AU,AU-QLD
74,HGD,2624.99,AU,AU-QLD
75,CMA,1961.83,AU,AU-QLD
76,BCI,3102.55,AU,AU-QLD
77,EMD,35867.37,AU,AU-QLD
78,MOV,17171.71,AU,AU-QLD
79,CNJ,2871.78,AU,AU-QLD
80,TSV,206374.16,AU,AU-QLD
81,PPP,26505.43,AU,AU-QLD
82,SGO,6265.43,AU,AU-QLD
83,RMA,14728.46,AU,AU-QLD
84,MKY,136565.78,AU,AU-QLD
85,ZBL,19678.45,AU,AU-QLD
86,MOO,16154.89,AU,AU-QLD
87,WTB,294923.55,AU,AU-QLD
88,BDB,115247.66,AU,AU-QLD
89,GLT,112287.93,AU,AU-QLD
90,HVB,139330.16,AU,AU-QLD
91,MCY,262266.31,AU,AU-QLD
92,BNE,3177408.46,AU,AU-QLD
93,BDD,3670.44,AU,AU-QLD
94,GTS,2945.07,AU,AU-SA
95,CPD,2415.18,AU,AU-SA
96,CED,6100.15,AU,AU-SA
97,OLP,7791.81,AU,AU-SA
98,WYA,80651.57,AU,AU-SA
99,ADL,1546195.37,AU,AU-SA
100,MGB,77292.44,AU,AU-SA
101,PLO,39398.3,AU,AU-SA
102,KGC,11830.99,AU,AU-SA
103,SRN,6597.96,AU,AU-TAS
104,HBA,133844.49,AU,AU-TAS
105,FLS,1089.78,AU,AU-TAS
106,BWT,53847.78,AU,AU-TAS
107,DPO,82400.3,AU,AU-TAS
108,LST,155445.5,AU,AU-TAS
109,KNS,2015.73,AU,AU-TAS
110,MQL,29713.35,AU,AU-VIC
111,MEB,4986166.3,AU,AU-VIC
112,BXG,460153.69,AU,AU-VIC
113,AVV,527434.51,AU,AU-VIC
114,MEL,757492.07,AU,AU-VIC
115,BQW,2404.28,AU,AU-WA
116,TEF,1564.85,AU,AU-WA
117,LVO,2911.47,AU,AU-WA
118,WME,224.23,AU,AU-WA
119,KGI,44456.14,AU,AU-WA
120,LER,1253.66,AU,AU-WA
121,LNO,1366.15,AU,AU-WA
122,MMG,2907.47,AU,AU-WA
123,CVQ,13684.93,AU,AU-WA
124,MJK,1104.11,AU,AU-WA
125,MKR,1242.02,AU,AU-WA
126,PBO,6856.5,AU,AU-WA
127,GET,32117.46,AU,AU-WA
128,HCQ,2411.17,AU,AU-WA
129,KNX,8409.24,AU,AU-WA
130,FIZ,3102.21,AU,AU-WA
131,TTX,40.14,AU,AU-WA
132,UBU,598.31,AU,AU-WA
133,DRB,7819.02,AU,AU-WA
134,LEA,6184.5,AU,AU-WA
135,EPR,6072.34,AU,AU-WA
136,WUN,724.44,AU,AU-WA
137,ZNE,7610.47,AU,AU-WA
138,BME,1759.03,AU,AU-WA
139,PHE,21745.77,AU,AU-WA
140,CJF,1558.45,AU,AU-WA
141,ALH,50403.04,AU,AU-WA
142,ONS,790.55,AU,AU-WA
143,BYP,2327.32,AU,AU-WA
144,KTA,12338.8,AU,AU-WA
145,PER,2120552.84,AU,AU-WA
146,BWB,219.75,AU,AU-WA
147,BQB,225280.42,AU,AU-WA
148,BWN,404942.67,BN,"BN-BE, BN-TE, BN-TU, BN-BM"
149,TXN,1398541.87,CN,CN-AH
150,AQG,8410630.76,CN,CN-AH
151,WHA,9076460.03,CN,CN-AH
152,FUG,18995940.7,CN,CN-AH
153,HFE,20712746.92,CN,CN-AH
154,PEK,23189788.2,CN,CN-BJ
155,PKX,6427781.91,CN,CN-BJ
156,WSK,1445353.51,CN,CN-CQ
157,WXN,4839769.5,CN,CN-CQ
158,JIQ,2339239.5,CN,CN-CQ
159,CKG,16357335.59,CN,CN-CQ
160,WUS,1656683.45,CN,CN-FJ
161,SQJ,2697249.1,CN,CN-FJ
162,LCX,3311075.7,CN,CN-FJ
163,JJN,18465214.69,CN,CN-FJ
164,FOC,8111384.85,CN,CN-FJ
165,HSC,4206194.2,CN,CN-GD
166,HUZ,12217366.7,CN,CN-GD
167,CAN,7703924.08,CN,CN-GD
168,MXZ,6204438.78,CN,CN-GD
169,FUO,27152949.73,CN,CN-GD
170,ZHA,13203616.21,CN,CN-GD
171,SWA,14479592.58,CN,CN-GD
172,SZX,24588186.71,CN,CN-GD
173,DNH,363869.09,CN,CN-GS
174,JGN,1200180.78,CN,CN-GS
175,GXH,1174660.64,CN,CN-GS
176,JIC,2038877.89,CN,CN-GS
177,YZY,1115443.25,CN,CN-GS
178,IQN,3117691.57,CN,CN-GS
179,LHW,9056603.43,CN,CN-GS
180,THQ,4903703.35,CN,CN-GS
181,LNL,2482188.9,CN,CN-GS
182,HCJ,1982280.58,CN,CN-GX
183,AEB,4201484.21,CN,CN-GX
184,KWL,5274495.09,CN,CN-GX
185,NNG,8323899.22,CN,CN-GX
186,WUZ,6524573.25,CN,CN-GX
187,LZH,8349110.12,CN,CN-GX
188,BHY,5781496.47,CN,CN-GX
189,LLB,1027219.31,CN,CN-GZ
190,ACX,2405967.92,CN,CN-GZ
191,ZYI,4231160.87,CN,CN-GZ
192,KJH,4205268.03,CN,CN-GZ
193,AVA,3577592.93,CN,CN-GZ
194,HZH,1341450.57,CN,CN-GZ
195,WMT,1692212.52,CN,CN-GZ
196,KWE,5010114.45,CN,CN-GZ
197,BFJ,2627344.39,CN,CN-GZ
198,LPF,3693198.39,CN,CN-GZ
199,NNY,12797660.01,CN,CN-HA
200,LYA,13397181.32,CN,CN-HA
201,XAI,16628199.81,CN,CN-HA
202,CGO,50441628.52,CN,CN-HA
203,HPG,3592626.78,CN,CN-HB
204,ENH,2363567.61,CN,CN-HB
205,XFN,6506899.15,CN,CN-HB
206,YIH,3415942.97,CN,CN-HB
207,WUH,29696059.04,CN,CN-HB
208,SHS,8268654,CN,CN-HB
209,ZQZ,5179588.44,CN,CN-HE
210,TVS,22776380.42,CN,CN-HE
211,SJW,23585110.15,CN,CN-HE
212,WDS,11966679.8,CN,CN-HE
213,HDG,13124205.3,CN,CN-HE
214,SYX,2486404.68,CN,CN-HI
215,HAK,4673562.94,CN,CN-HI
216,HEK,483744.85,CN,CN-HL
217,OHE,324397.12,CN,CN-HL
218,LDS,1833591.76,CN,CN-HL
