Country,,2021/07/01,2021/07/02,2021/07/03,2021/07/04,2021/07/05,2021/07/06,2021/07/07,2021/07/08,2021/07/09,2021/07/10,2021/07/11,2021/07/12,2021/07/13,2021/07/14,2021/07/15,2021/07/16,2021/07/17,2021/07/18,2021/07/19,2021/07/20,2021/07/21,2021/07/22,2021/07/23,2021/07/24,2021/07/25,2021/07/26,2021/07/27,2021/07/28,2021/07/29,2021/07/30,2021/07/31,2021/08/01,2021/08/02,2021/08/03,2021/08/04,2021/08/05,2021/08/06,2021/08/07,2021/08/08,2021/08/09,2021/08/10,2021/08/11,2021/08/12,2021/08/13,2021/08/14,2021/08/15,2021/08/16,2021/08/17,2021/08/18,2021/08/19,2021/08/20,2021/08/21,2021/08/22,2021/08/23,2021/08/24,2021/08/25,2021/08/26,2021/08/27,2021/08/28,2021/08/29,2021/08/30,2021/08/31,2021/09/01,2021/09/02,2021/09/03,2021/09/04,2021/09/05,2021/09/06,2021/09/07,2021/09/08,2021/09/09,2021/09/10,2021/09/11,2021/09/12,2021/09/13,2021/09/14,2021/09/15,2021/09/16,2021/09/17,2021/09/18,2021/09/19,2021/09/20,2021/09/21,2021/09/22,2021/09/23,2021/09/24,2021/09/25,2021/09/26,2021/09/27,2021/09/28,2021/09/29,2021/09/30,2021/10/01,2021/10/02,2021/10/03,2021/10/04,2021/10/05,2021/10/06,2021/10/07,2021/10/08,2021/10/09,2021/10/10,2021/10/11,2021/10/12,2021/10/13,2021/10/14,2021/10/15,2021/10/16,2021/10/17,2021/10/18,2021/10/19,2021/10/20,2021/10/21,2021/10/22,2021/10/23,2021/10/24,2021/10/25,2021/10/26,2021/10/27,2021/10/28,2021/10/29,2021/10/30,2021/10/31,2021/11/01,2021/11/02,2021/11/03,2021/11/04,2021/11/05,2021/11/06,2021/11/07,2021/11/08,2021/11/09,2021/11/10,2021/11/11,2021/11/12,2021/11/13,2021/11/14,2021/11/15,2021/11/16,2021/11/17,2021/11/18,2021/11/19,2021/11/20,2021/11/21,2021/11/22,2021/11/23,2021/11/24,2021/11/25,2021/11/26,2021/11/27,2021/11/28,2021/11/29,2021/11/30,2021/12/01,2021/12/02,2021/12/03,2021/12/04,2021/12/05,2021/12/06,2021/12/07,2021/12/08,2021/12/09,2021/12/10,2021/12/11,2021/12/12,2021/12/13,2021/12/14,2021/12/15,2021/12/16,2021/12/17,2021/12/18,2021/12/19,2021/12/20,2021/12/21,2021/12/22,2021/12/23,2021/12/24,2021/12/25,2021/12/26,2021/12/27,2021/12/28,2021/12/29,2021/12/30,2021/12/31
0,AU,260,277,254,276,271,259,260,267,281,347,417,492,568,610,675,756,799,795,797,837,913,956,982,1019,1066,1146,1207,1300,1327,1377,1465,1530,1570,1616,1665,1789,1921,1945,2018,2174,2288,2358,2467,2607,2769,2985,3087,3397,3772,4063,4461,4929,5305,5657,5951,6319,6588,6816,7230,7691,8114,8368,8720,9392,10014,10363,10544,10753,11224,11482,11704,12038,11984,12168,12280,12227,12358,12288,12069,12025,11805,11809,11825,11778,11742,11751,11931,11903,12201,12354,12945,13239,13709,13829,14380,14889,15103,14919,15385,15565,16083,16156,15615,15618,16146,16154,15950,15733,15696,15886,15954,15754,15769,15341,15342,14967,14715,14468,13962,13301,13007,12018,11800,11149,10410,9909,9603,9548,9750,9548,9705,9795,9814,9648,9566,9294,9025,8747,8774,8485,8576,8484,8834,9046,9034,9270,9530,9652,9772,9542,9490,9587,9540,9715,9610,9838,9852,9982,10317,10605,10557,10746,10795,11089,11647,12183,13287,15056,17147,19407,21726,23914,26436,29158,34092,38508,44346,49943,55796,63101,75248,88260,113853,134361
1,BN,5,5,3,3,3,7,6,5,5,6,6,15,16,16,16,16,15,15,6,23,23,29,31,38,38,50,28,28,22,23,16,16,5,5,5,6,3,2,10,68,102,156,204,259,301,376,381,412,452,403,735,815,1046,1086,1021,1213,1213,1047,925,693,768,839,699,801,713,713,631,823,855,825,871,801,942,1070,859,864,883,844,920,922,884,938,954,1020,911,1146,1003,1493,1439,1428,1364,1530,1366,1366,786,1204,1231,1200,1146,1138,1273,1654,1263,1428,1515,1566,1787,1757,1880,1880,1748,1721,1714,1421,1545,1253,1337,1375,1324,1281,1283,1164,1017,862,726,736,722,590,677,612,536,543,516,513,576,430,473,433,427,416,341,323,272,376,415,410,393,372,474,548,401,428,357,340,340,224,172,194,144,171,133,190,159,197,180,178,152,146,93,102,43,54,50,55,54,53,44,43,27,46,43,39,41,41
2,CN,730,718,707,651,618,638,656,624,598,539,558,553,516,483,490,487,496,471,508,484,545,576,581,598,626,620,685,639,645,661,693,737,804,846,883,979,1049,1083,1077,1066,1027,1021,974,889,824,770,687,635,603,524,495,483,452,445,417,380,370,375,364,378,387,385,392,385,373,367,350,349,358,361,341,346,372,425,481,520,559,624,641,656,626,596,569,538,521,511,482,470,437,430,429,413,424,419,402,388,394,384,366,334,330,358,349,337,338,327,333,336,300,297,307,306,353,384,404,422,451,484,506,518,541,569,623,646,680,739,761,763,762,775,779,782,759,771,771,769,730,678,597,548,472,424,367,339,350,358,347,347,348,358,377,396,488,538,618,688,728,746,827,790,801,788,801,800,818,743,735,736,734,755,792,835,844,897,927,931,957,936,1046,1356,1449,1555,1691,1817
3,ID,149113,156071,162889,168780,177831,188553,201125,214680,226974,234155,243119,253801,270511,290649,309015,324891,341749,350273,344103,334529,313784,306536,301607,295071,289029,283000,289878,303897,297867,289964,281832,273891,268067,256764,244840,237125,235489,229958,225635,223940,222121,216879,205824,197080,193925,188323,184998,173658,158801,156145,145361,133507,125102,117322,115687,118590,113436,106050,99356,94375,90207,81635,73301,56402,60536,57213,55189,54166,50833,47227,53217,41841,40115,38491,36655,33582,30799,27954,26413,24797,23252,22607,21742,20514,20250,18972,17724,17250,16708,15502,14736,13545,12612,11889,11271,10803,10150,9680,9383,9143,8896,8648,8346,8203,7952,7612,7143,6973,6826,6832,6474,6155,5735,5580,5385,5261,5095,4803,4608,4698,4621,4439,4339,4282,4283,4365,4270,4105,3886,3807,3648,3470,3149,2956,2837,2795,2690,2667,2580,2622,2587,2548,2582,2557,2522,2569,2498,2470,2563,2574,2524,2514,2417,2244,2183,1975,1817,1749,1703,1667,1653,1562,1509,1491,1458,1434,1363,1304,1297,1396,1400,1401,1428,1454,1428,1351,1264,1287,1123,1202,1264,1279,1332,1308
4,IN,323806,319219,312250,305898,303035,300817,297923,294699,293354,291789,289147,287350,282482,278323,273879,269192,268843,269853,267040,270190,269840,266233,267251,265836,267033,266629,268268,270394,279282,281834,283923,284696,285556,284527,284000,284413,281392,278631,273996,271651,267379,265592,261069,261108,258121,255559,252521,249346,244552,241003,236793,231658,223793,224094,226509,236272,244359,256661,270796,288633,294107,298479,299407,300101,295960,293643,289682,289963,285873,282044,271665,262423,248248,236554,230736,220037,207344,206774,209060,211242,214244,214955,214743,216096,213075,207029,204582,200367,193047,184953,176559,171904,166642,161158,155916,155467,155430,154332,148862,144248,139572,136905,132872,129862,126418,122023,118264,114244,109708,108453,107253,106720,105644,105989,107749,108459,107829,106657,104359,102921,100908,97832,96040,94035,92487,89216,87597,84213,82209,81173,80876,80439,80645,80432,81353,81798,80549,79288,78019,76847,75437,73889,73106,71365,70079,69165,66365,65808,63824,62110,61931,61342,61013,61659,60326,60611,51837,60729,60561,60046,59700,58886,58273,66150,56299,55261,53806,52361,51406,43416,42684,48978,48520,47853,47374,46577,53766,53608,46495,47527,50405,56064,66178,81764
5,JP,10578,10643,10890,11093,11121,11409,11778,12270,12771,13351,13896,14372,15088,16091,17263,18420,19848,20919,21742,23117,24874,26855,27656,27364,29302,31683,35594,40273,45626,52223,61051,66260,70029,74460,79144,83709,88685,92084,96362,100062,98694,100410,104127,108816,113298,116660,119489,128861,136929,143236,148732,154091,158548,160465,162029,162344,162041,160368,157565,154557,151307,147357,142974,136152,128554,121709,115279,109829,102717,95077,87257,79395,72183,66489,62438,58110,52531,47826,44080,39978,36161,34209,29700,26134,24044,21026,18996,17736,16663,16615,15355,13329,12678,11251,10082,9533,8790,7932,7329,6712,6243,5829,5599,5227,4833,4478,4168,3894,3769,3630,3394,3051,2777,2584,2367,2171,2092,2031,1953,1883,1851,1852,1848,1781,1692,1646,1531,1464,1410,1339,1355,1328,1291,1348,1324,1288,1276,1254,1211,1188,1121,1073,983,995,966,926,799,770,738,759,674,707,685,723,721,758,753,785,784,806,826,863,851,868,899,895,923,947,968,1009,1072,1110,1167,1287,1379,1492,1651,1770,1860,1940,1994,2210,2457,2608
6,KH,6018,6285,6488,6642,6655,6867,6718,6673,6695,6680,6668,6683,6578,6512,6554,6455,6358,6222,6101,6096,5993,5808,5744,5768,5742,5730,5590,5544,5498,5341,5139,4991,4773,4665,4482,4308,4228,4092,3977,3925,3847,3750,3614,3449,3525,3557,3642,3699,3806,3884,3980,3875,3783,3600,3510,3345,3235,3127,3035,2977,2975,2948,2975,2968,3048,3069,3092,3212,3284,3425,3598,3767,4003,4204,4305,4451,4508,4612,4650,4640,4590,4583,4554,4538,4483,4607,4775,4993,5210,5448,5692,6032,5442,4800,4169,3549,2911,2251,1497,1468,1514,1554,1593,1632,1683,1727,1789,1836,1855,1792,1700,1594,1477,1360,1237,1107,1028,965,910,868,821,783,750,725,787,676,650,627,594,570,547,440,505,488,473,460,444,428,409,395,383,365,345,331,316,307,290,268,252,238,220,208,191,183,174,169,168,169,160,152,140,129,120,111,99,98,96,90,85,78,67,61,53,45,40,37,35,35,33,41,42,43,53,53
7,KR,4760,4885,5013,5223,5374,5792,6305,6795,7380,7962,8351,8755,9158,9483,9702,9778,9905,10057,10185,10354,10592,10687,10862,10897,10963,11050,11162,10996,11073,10983,10939,10836,10672,10499,10603,10600,10883,11169,11446,11784,12280,12490,12776,12883,12972,13033,12867,12451,12616,12677,12628,12438,12301,12433,12782,12509,12299,12212,12202,12269,12134,12006,12084,11952,11962,11836,11727,11953,11978,12069,12252,12314,12578,12637,12536,12566,12460,12576,12795,12949,13121,13353,12994,12769,13194,14380,15241,16017,16579,17742,18590,18641,17618,16933,16224,15510,14654,14515,14203,13905,13414,13039,12811,12363,11875,11385,11053,10877,10629,10355,10346,9850,9608,9498,9503,9644,9837,10217,10883,11567,12163,12801,13297,13619,14335,14708,14928,15073,15235,15308,15433,15191,15231,15255,15330,15525,15772,16184,16944,17714,18380,19269,19965,20786,21359,22290,22937,23802,24657,25471,25948,26280,27285,28610,29654,30939,32138,33158,35080,37134,38972,41051,42676,44237,45730,46342,47011,47533,47945,48281,47827,47326,46963,46570,45861,44658,43181,42365,41256,39917,37873,35989,34629,33208
8,LA,64,82,113,134,190,246,279,325,361,417,475,525,545,576,623,650,665,707,715,809,887,1027,1155,1325,1336,1445,1444,1571,1556,1577,1679,1804,1780,1861,1871,1836,1859,1479,1826,1796,1861,1856,1852,1890,2116,1700,1880,1772,1868,1950,2085,2270,2377,2180,2309,2880,2791,2598,2302,2172,2195,2058,1380,1355,1254,1295,1292,1242,1350,1287,1283,1331,1379,1424,1497,1317,1329,1317,1411,1674,1828,1844,2048,2047,2587,2733,2713,2634,3042,3211,3536,3200,3230,3389,3398,3083,3046,2974,3030,3297,2691,3323,3325,3411,3502,3739,3581,4129,3489,3465,3573,3642,3383,3330,3249,3604,3934,4047,4145,4283,4210,4601,4638,4708,4811,5140,5780,6292,6394,6785,6886,7063,7140,6916,7155,7227,7136,7176,7432,7366,7821,7720,8032,7968,8141,8158,8421,8524,8937,9084,9358,9288,9256,9345,9174,8668,8146,8315,8275,8344,8128,8007,8648,9577,9487,9736,9734,9770,10051,10108,9459,9252,8938,8708,8804,7311,8117,7875,7659,7382,7216,6917,8189,6687
9,MM,8633,9637,10731,12245,13989,16279,18646,20708,23165,25665,26808,28853,29298,32434,32490,34364,35484,37308,37483,39296,38306,40819,40131,40291,40004,39445,38549,37436,35969,35590,34658,33140,32199,31948,31019,29917,28378,27304,26851,26773,26494,26182,25480,25348,25116,24763,23858,22730,21869,21029,20582,19907,19406,18886,18086,17710,17755,17434,17622,18615,20012,20905,21761,22585,23307,23453,23116,22088,21120,20464,19315,18007,17293,16417,16135,16125,15847,15327,15412,14991,14740,14052,13318,12712,12666,12146,11749,11581,11278,11221,10945,10669,10848,10649,10309,10346,10242,10417,10343,9963,10064,10188,10066,9922,9778,9898,9761,9518,9202,9027,8778,8098,7267,6863,6725,6410,6099,5890,6000,6116,6096,5745,5810,5976,6126,6078,6281,6433,6677,6743,6865,6567,6792,6744,6679,6550,6446,6147,6125,5788,5421,5053,4847,4660,4509,4386,4172,4067,3936,3816,3639,3460,3300,3094,3133,3042,2911,2846,2707,2603,2578,2057,2276,2259,2254,2273,2269,2100,2311,1907,1720,1592,1469,1365,1335,1400,1396,1402,1360,1433,1361,1438,1531,1507
