Dep_apt,Arr_apt,SchedDepApt,SchedArrApt,DepCountryCode,ArrCountryCode,avg_daily_passenger_cnt
332,202,AAT,CGO,2,2,65.32487671
332,321,AAT,XIY,2,2,212.7187616
25,114,ABX,MEL,0,0,56.168
190,167,ACX,CAN,2,2,48.15693151
190,159,ACX,CKG,2,2,67.38123288
190,232,ACX,CSX,2,2,61.50871233
190,298,ACX,CTU,2,2,75.08679452
190,215,ACX,HAK,2,2,22.81117808
190,365,ACX,KMG,2,2,176.9631452
190,363,ACX,LJG,2,2,80.83711233
190,300,ACX,MIG,2,2,8.228317808
190,378,ACX,NGB,2,2,222.3320438
190,246,ACX,NKG,2,2,13.54413699
190,155,ACX,PKX,2,2,44.54289863
190,317,ACX,PVG,2,2,134.635737
190,172,ACX,SZX,2,2,83.2449589
190,331,ACX,TSN,2,2,22.81117808
190,207,ACX,WUH,2,2,84.72723288
190,321,ACX,XIY,2,2,81.02720548
99,749,ADL,AKL,0,11,178.7328219
99,32,ADL,ASP,0,0,213.1442082
99,113,ADL,AVV,0,0,82.28317808
99,33,ADL,AYQ,0,0,27.5884
99,1,ADL,BHQ,0,0,44.7035726
99,92,ADL,BNE,0,0,1219.705545
99,167,ADL,CAN,0,2,134.309863
99,0,ADL,CBR,0,0,315.3984822
99,69,ADL,CNS,0,0,138.0890959
99,41,ADL,DRW,0,0,225.989074
99,104,ADL,HBA,0,0,68.02619178
99,391,ADL,HKG,0,2,203.5580822
99,727,ADL,KUL,0,10,216.4572603
99,91,ADL,MCY,0,0,61.10136986
99,114,ADL,MEL,0,0,3346.605759
99,86,ADL,MOO,0,0,36.0136
99,110,ADL,MQL,0,0,22.2363726
99,31,ADL,OOL,0,0,278.2692164
99,145,ADL,PER,0,0,932.549474
99,805,ADL,SIN,0,13,311.359726
99,22,ADL,SYD,0,0,2459.384449
183,167,AEB,CAN,2,2,34.06967123
183,159,AEB,CKG,2,2,126.6835068
183,232,AEB,CSX,2,2,33.75284932
183,215,AEB,HAK,2,2,33.10789041
183,196,AEB,KWE,2,2,51.25726027
183,172,AEB,SZX,2,2,41.85896438
586,556,AGR,HJR,4,4,34.2620274
586,572,AGR,JAI,4,4,34.21676712
293,357,AHJ,LXA,2,2,44.98871233
561,594,AJL,CCU,4,4,128.9012603
561,505,AJL,GAU,4,4,46.72670685
561,555,AJL,IMF,4,4,52.99978082
598,617,AKJ,HND,5,5,2297.694384
598,664,AKJ,ICN,5,7,38.11820274
598,627,AKJ,NGO,5,5,106.551737
598,383,AKJ,TPE,5,2,46.97563836
749,99,AKL,ADL,11,0,177.8163014
749,755,AKL,BHE,11,11,295.6084274
749,92,AKL,BNE,11,0,1443.101205
749,69,AKL,CNS,11,0,68.36564384
749,91,AKL,MCY,11,0,23.28641096
749,751,AKL,CHC,11,11,3297.849129
749,114,AKL,MEL,11,0,1789.930685
749,31,AKL,OOL,11,0,455.0626356
749,763,AKL,DUD,11,11,661.5694247
749,753,AKL,GIS,11,11,301.1301808
749,145,AKL,PER,11,0,361.8672055
749,22,AKL,SYD,11,0,2911.548164
749,764,AKL,IVC,11,11,35.43879452
749,167,AKL,CAN,11,2,411.1020548
749,759,AKL,KKE,11,11,277.9795507
749,298,AKL,CTU,11,2,124.8052055
749,391,AKL,HKG,11,2,752.6760932
749,154,AKL,PEK,11,2,233.9676438
749,317,AKL,PVG,11,2,449.998011
749,754,AKL,NPE,11,11,796.8931178
749,766,AKL,NPL,11,11,548.296537
749,172,AKL,SZX,11,2,106.5336329
749,765,AKL,NSN,11,11,779.8797808
749,383,AKL,TPE,11,2,117.5635616
749,629,AKL,KIX,11,5,38.822
749,619,AKL,NRT,11,5,264.1706411
749,757,AKL,PMR,11,11,708.0109918
749,767,AKL,PPQ,11,11,75.37193425
749,664,AKL,ICN,11,7,248.2707068
749,750,AKL,ROT,11,11,204.2429589
749,727,AKL,KUL,11,10,314.9617205
749,780,AKL,MNL,11,12,121.9764384
749,805,AKL,SIN,11,13,835.3039726
749,809,AKL,BKK,11,14,317.4238795
